rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
mmed3,src/blocksort.rs,30,"(a: u8, b: u8, c: u8) -> u8",yes,,mmed3,mmed3
fallback_simple_sort,src/blocksort.rs,46,"(fmap: Option<&mut [i32]>, eclass: Option<&[i32]>, lo: i32, hi: i32) -> ()",,,fallbackSimpleSort,fallbackSimpleSort
main_gt_u,src/blocksort.rs,184,"(i1: u32, i2: u32, block: Option<&[u8]>, quadrant: Option<&[u16]>, nblock: u32, budget: Option<&mut i32>) -> u8",,,mainGtU,mainGtU
fallback_q_sort3,src/blocksort.rs,384,"(fmap: Option<&mut [i32]>, eclass: Option<&[i32]>, lo_st: i32, hi_st: i32) -> ()",,,fallbackQSort3,BZ2_bzRead
main_simple_sort,src/blocksort.rs,396,"(ptr: Option<&mut [u32]>, block: Option<&[u8]>, quadrant: Option<&[u16]>, nblock: i32, lo: i32, hi: i32, d: i32, budget: Option<&mut i32>) -> ()",,,mainSimpleSort,mainQSort3
fallback_sort,src/blocksort.rs,408,"(fmap: Option<&mut [u32]>, eclass: Option<&mut [u32]>, bhtab: Option<&mut [i32]>, nblock: i32, verb: i32) -> ()",,,fallbackSort,fallbackSort
main_q_sort3,src/blocksort.rs,421,"(ptr: Option<&mut [u32]>, block: Option<&[u8]>, quadrant: Option<&[u16]>, nblock: i32, lo_st: i32, hi_st: i32, d_st: i32, budget: Option<&mut i32>) -> ()",,,mainQSort3,mainSimpleSort
main_sort,src/blocksort.rs,436,"(ptr: Option<&mut [u32]>, block: Option<&mut [u8]>, quadrant: Option<&mut [u16]>, ftab: Option<&mut [u32]>, nblock: i32, verb: i32, budget: Option<&mut i32>) -> ()",,,mainSort,BZ2_bzBuffToBuffCompress
BZ2_blockSort,src/blocksort.rs,451,(s: Option<&mut crate::EState>) -> (),yes,,BZ2_blockSort,
bz_config_ok,src/bzlib.rs,60,() -> i32,yes,,bz_config_ok,bz_config_ok
BZ2_bzlibVersion,src/bzlib.rs,90,() -> Option<&'static str>,yes,,BZ2_bzlibVersion,BZ2_bzlibVersion
