rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
minify_string,src/cjson.rs,11,"(input: &mut &[u8], output: &mut [u8]) -> ()",yes,,,print_object
skip_oneline_comment,src/cjson.rs,63,(input: Option<&mut &[u8]>) -> (),yes,,,cJSON_InitHooks
skip_multiline_comment,src/cjson.rs,82,(input: &mut Option<&mut &[u8]>) -> (),yes,,,cJSON_free
get_decimal_point,src/cjson.rs,92,() -> u8,yes,,,get_decimal_point
parse_hex4,src/cjson.rs,95,(input: Option<&[u8]>) -> u32,yes,,,parse_hex4
cJSON_Version,src/cjson.rs,126,() -> Option<&'static str>,yes,,,cJSON_Version
cJSON_Minify,src/cjson.rs,147,(json: Option<&mut [u8]>) -> (),yes,,,cJSON_malloc
utf16_literal_to_utf8,src/cjson.rs,150,"(input_pointer: Option<&[u8]>, input_end: Option<&[u8]>, output: Option<&mut Vec<u8>>) -> u8",yes,,,utf16_literal_to_utf8
cJSON_GetArraySize,src/cjson.rs,291,(array: Option<&'a cJSON<'a>>) -> i32,yes,,,cJSON_GetArraySize
cJSON_IsInvalid,src/cjson.rs,304,(item: Option<&cJSON<'a>>) -> i32,yes,,,cJSON_IsFalse
cJSON_IsFalse,src/cjson.rs,310,(item: Option<&cJSON<'a>>) -> i32,yes,,,cJSON_IsRaw
cJSON_IsTrue,src/cjson.rs,320,(item: Option<&cJSON<'a>>) -> i32,yes,,,cJSON_IsInvalid
cJSON_IsBool,src/cjson.rs,333,(item: Option<&cJSON<'_>>) -> i32,yes,,,cJSON_IsBool
cJSON_IsNull,src/cjson.rs,346,(item: Option<&cJSON>) -> i32,yes,,,cJSON_IsArray
cJSON_IsNumber,src/cjson.rs,356,(item: Option<&cJSON<'a>>) -> i32,yes,,,cJSON_IsString
cJSON_IsString,src/cjson.rs,369,(item: Option<&cJSON<'a>>) -> i32,yes,,,cJSON_IsNumber
cJSON_IsArray,src/cjson.rs,382,(item: Option<&cJSON<'a>>) -> i32,yes,,,cJSON_IsTrue
cJSON_IsObject,src/cjson.rs,394,(item: Option<&cJSON<'a>>) -> i32,yes,,,cJSON_IsObject
cJSON_IsRaw,src/cjson.rs,406,(item: Option<&'a cJSON<'a>>) -> i32,yes,,,cJSON_IsNull
cJSON_SetNumberHelper,src/cjson.rs,418,"(object: Option<&'a mut cJSON<'a>>, number: f64) -> f64",yes,,,cJSON_SetNumberHelper
case_insensitive_strcmp,src/cjson.rs,442,"(string1: Option<&'a str>, string2: Option<&'a crate::cJSON<'a>>) -> i32",yes,,,case_insensitive_strcmp
compare_double,src/cjson.rs,519,"(a: f64, b: f64) -> bool",yes,,,compare_double
get_array_item,src/cjson.rs,525,"(array: Option<&'a mut cJSON<'a>>, index: usize) -> Option<&'a mut cJSON<'a>>",yes,,,print_number
suffix_object,src/cjson.rs,546,"(prev: Option<&'a mut cJSON<'a>>, item: Option<&'a mut cJSON<'a>>) -> ()",yes,,,cJSON_AddArrayToObject
cast_away_const,src/cjson.rs,574,(string: Option<&'a T>) -> Option<&'a mut T>,yes,,,cast_away_const
parse_number,src/cjson.rs,588,"(item: Option<&'a mut cJSON<'a>>, input_buffer: Option<&'a mut ParseBuffer<'a>>) -> i32",yes,,,parse_number
parse_string,src/cjson.rs,696,"(item: Option<&'a mut cJSON<'a>>, input_buffer: Option<&'a mut ParseBuffer<'a>>) -> i32",yes,,,parse_string
skip_utf8_bom,src/cjson.rs,873,(buffer: Option<&'a mut ParseBuffer<'a>>) -> Option<&'a mut ParseBuffer<'a>>,yes,,,skip_utf8_bom
ensure,src/cjson.rs,908,"(p: Option<&'a mut PrintBuffer<'a>>, needed: usize) -> Option<&'a mut [u8]>",yes,,,ensure
