c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
cJSON_GetErrorPtr,cJSON.c,94,() -> const char *,,,NO_MAP,,,cJSON_GetErrorPtr,cJSON_GetErrorPtr,0.249,-0.1,ABSTAIN,single-source,cJSON_GetErrorPtr,C cJSON.c:94 returns global_error.json + global_error.position. Rust src/cjson.rs:1135 reads GLOBAL_ERROR.json/position and returns &json[position..] (adds a bounds check). Body match.
cJSON_GetStringValue,cJSON.c,99,(item: const cJSON *const) -> char *,,,NO_MAP,,,cJSON_GetStringValue,cJSON_GetStringValue,0.407,-0.002,ABSTAIN,single-source,cJSON_GetStringValue,"C cJSON.c:99 (!cJSON_IsString -> NULL; return item->valuestring). Rust src/cjson.rs:1159 calls cJSON_IsString, returns valuestring.as_deref(). Body match."
cJSON_GetNumberValue,cJSON.c,109,(item: const cJSON *const) -> double,,,NO_MAP,,,cJSON_GetNumberValue,cJSON_GetNumberValue,0.432,0.023,cJSON_GetNumberValue,single-source,cJSON_GetNumberValue,"C cJSON.c:109 (!cJSON_IsNumber -> NAN; return valuedouble). Rust src/cjson.rs:1150 calls cJSON_IsNumber, returns f64::NAN / valuedouble. Body match."
cJSON_Version,cJSON.c,124,() -> const char *,,,NO_MAP,,,cJSON_Version,cJSON_Version,0.463,0.04,cJSON_Version,single-source,cJSON_Version,"C cJSON.c:124 sprintf(""%i.%i.%i"", 1,7,19) into static buffer. Rust src/cjson.rs:126 returns Some(""1.7.19"") (constant-folded; comment cites 'static char version[15]'). Body match."
case_insensitive_strcmp,cJSON.c,133,"(string1: const unsigned char *, string2: const unsigned char *) -> int",,,NO_MAP,,,case_insensitive_strcmp,case_insensitive_strcmp,0.368,0.036,case_insensitive_strcmp,single-source,case_insensitive_strcmp,"C cJSON.c:133 (NULL -> 1; ptr-equal -> 0; tolower loop; return tolower diff). Rust src/cjson.rs:442 has the same three-stage shape: None -> 1, equal -> 0, byte-wise to_ascii_lowercase loop returning c1-c2. Signature is odd (string2 is Option<&cJSON> and it compares against .string) but the body is unmistakably this function."
cJSON_strdup,cJSON.c,188,"(string: const unsigned char *, hooks: const internal_hooks *const) -> unsigned char *",,,NO_MAP,,,,cjson_strdup,0.321,0.008,ABSTAIN,single-source,cjson_strdup,"C cJSON.c:188 (NULL -> NULL; length = strlen+1; hooks->allocate(length); memcpy). Rust src/cjson.rs:1085 cjson_strdup: None -> None, length = s.len()+1, calls hooks.allocate(length), null check, then copies bytes + NUL into a leaked Vec. Body match (renamed to snake_case)."
cJSON_InitHooks,cJSON.c,209,(hooks: cJSON_Hooks *) -> void,,,NO_MAP,,,cJSON_InitHooks,skip_oneline_comment,0.359,0.009,ABSTAIN,CONFLICT,cJSON_InitHooks,"C cJSON.c:209 (hooks NULL -> reset to malloc/free/realloc; else allocate=malloc_fn if set, deallocate=free_fn if set, reallocate=NULL unless both default). Rust src/cjson.rs:1028 matches on hooks None/Some, builds default_malloc/default_realloc, checks h.malloc_fn.is_some()/h.free_fn.is_some(), sets reallocate=None, comments quote the C lines. Effect is discarded (global never written) but this is the translation. Rejected matcher_forced=skip_oneline_comment (src/cjson.rs:63): its body skips 2 bytes then scans to '\n' - that is C skip_oneline_comment."
cJSON_New_Item,cJSON.c,241,(hooks: const internal_hooks *const) -> cJSON *,,,NO_MAP,,,cJSON_New_Item,cJSON_New_Item,0.411,0.017,cJSON_New_Item,single-source,STUB:cJSON_New_Item,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:241 (hooks->allocate(sizeof cJSON); memset 0). Rust src/cjson.rs:1120 cJSON_New_Item(hooks) is a degenerate translation that returns None unconditionally ('We still do not perform any allocation in safe Rust and simply return None'), but it keeps the name, the hooks parameter, and is the constructor called by every cJSON_Create* and create_reference exactly where C calls cJSON_New_Item. No other Rust fn allocates a node. STUB-like."
cJSON_Delete,cJSON.c,253,(item: cJSON *) -> void,,,NO_MAP,,,,cJSON_InitHooks,0.061,-0.273,ABSTAIN,single-source,NONE,"C cJSON.c:253 (walk next chain, recursive delete of child, deallocate valuestring/string/item). No candidate other than matcher_forced=cJSON_InitHooks (src/cjson.rs:1028), rejected: its body is the hook-installation logic (malloc_fn/free_fn checks), nothing about next/child/valuestring/deallocate. Searched crate (grep -i 'delete', 'impl Drop', 'deallocate(', 'free') for any function walking item.next/child and freeing: none. Every Rust caller that in C calls cJSON_Delete (AddNullToObject, AddTrueToObject, ..., CreateString failure path) simply drops the call. Functionality elided -> NONE."
get_decimal_point,cJSON.c,279,() -> unsigned char,,,NO_MAP,,,get_decimal_point,get_decimal_point,0.502,0.16,get_decimal_point,single-source,get_decimal_point,C cJSON.c:279 returns '.' (non-locale build). Rust src/cjson.rs:92 returns b'.'. Body match.
