c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
genann_act_hidden_indirect,genann.c,45,"(ann: const struct genann *, a: double) -> double",genann_act_hidden_indirect,genann_act_hidden_indirect,CLAIMED,yes,Fixed_2_Compile_Success,genann_act_hidden_indirect,genann_randomize,0.447,-0.023,ABSTAIN,CONFLICT,genann_act_hidden_indirect,"genann.c:45 -> src/genann.rs:134: returns (ann.activation_hidden)(ann, a), i.e. dispatches through the activation_hidden fn-pointer field exactly as C ann->activation_hidden(ann, a) (Rust adds None -> 0.0). Forced proposal genann_randomize is WRONG: genann_randomize (genann.rs:12) is a no-op stub taking Option<&mut Genann> and returning (), no fn-pointer dispatch at all."
genann_act_output_indirect,genann.c,49,"(ann: const struct genann *, a: double) -> double",genann_act_output_indirect,genann_act_output_indirect,CLAIMED,yes,No_Fix_Compile_Success,genann_act_output_indirect,genann_act_hidden_indirect,0.27,-0.353,ABSTAIN,CONFLICT,genann_act_output_indirect,"genann.c:49 -> src/genann.rs:140: returns (ann.activation_output)(ann, a) via the activation_output field (None -> 0.0). Forced proposal genann_act_hidden_indirect is WRONG: that Rust fn (genann.rs:134) dispatches through activation_hidden, the other field; C line 50 reads activation_output."
genann_act_sigmoid,genann.c,70,"(ann: const genann *, a: double) -> double",genann_act_sigmoid,genann_act_sigmoid,CLAIMED,yes,No_Fix_Compile_Success,genann_act_sigmoid,genann_act_sigmoid,0.585,0.215,genann_act_sigmoid,unanimous,genann_act_sigmoid,"genann.c:70 -> src/genann.rs:93: same clamps a < -45 -> 0, a > 45 -> 1, else 1/(1+exp(-a)); ann unused in both. Forced proposal correct."
genann_init_sigmoid_lookup,genann.c,76,(ann: const genann *) -> void,genann_init_sigmoid_lookup,genann_init_sigmoid_lookup,CLAIMED,yes,No_Fix_Compile_Success,genann_init_sigmoid_lookup,genann_init_sigmoid_lookup,0.558,0.186,genann_init_sigmoid_lookup,unanimous,genann_init_sigmoid_lookup,"genann.c:76 -> src/genann.rs:149: f = (15-(-15))/4096, interval = 4096/30, loop i<4096 filling lookup[i] = genann_act_sigmoid(ann, -15 + f*i) (LOOKUP_SIZE 4096 preserved). Translation defect, not a correspondence issue: the C globals lookup[]/interval became a local array/local that is dropped on return, so the Rust fn has no observable effect. Forced proposal correct."
genann_act_sigmoid_cached,genann.c,86,"(ann: const genann *, a: double) -> double",genann_act_sigmoid_cached,genann_act_sigmoid_cached,CLAIMED,yes,No_Fix_Compile_Success,genann_act_sigmoid_cached,genann_write,0.436,0.053,genann_write,CONFLICT,genann_act_sigmoid_cached,"genann.c:86 -> src/genann.rs:105: assert !isnan(a); a < -15 -> lookup[0]; a >= 15 -> lookup[4095]; j = (a+15)*interval+0.5 with j>=4096 clamp; return lookup[j] -- every C statement is present. Translation defect: lookup is a local zeroed [f64;4096] and interval = 0.0 (globals lost), so it always returns 0.0. Forced proposal genann_write is WRONG: genann_write (genann.rs:61) is the serializer writing '%d %d %d %d' + ' %.20e' per weight to a Write sink and returns (), nothing in common with a sigmoid lookup."
genann_act_linear,genann.c,100,"(ann: const struct genann *, a: double) -> double",,,EMPTY,,No_Fix_Compile_Success,genann_act_linear,genann_act_threshold,0.639,0.0,ABSTAIN,CONFLICT,STUB:genann_act_linear,"genann.c:100 (return a) -> src/common/genann_mod.rs:21: body is the constant 0.0, parameters unused -- a signature-only placeholder. Per metadata, the genann.h#473 declaration unit was stub-reverted (Fixed_5_Compile_Failed) into genann_mod.rs and the genann.c#1632 definition unit then emitted no code (rust_definition_name []), which is why tool_claim is EMPTY. Forced proposal genann_act_threshold is WRONG (swapped with the sibling stub; C genann_act_threshold is a>0, not identity), though note both Rust stubs have identical 0.0 bodies so nothing but the name distinguishes them."
genann_act_threshold,genann.c,104,"(ann: const struct genann *, a: double) -> double",,,EMPTY,,No_Fix_Compile_Success,genann_act_threshold,genann_act_linear,0.415,-0.225,ABSTAIN,CONFLICT,STUB:genann_act_threshold,"genann.c:104 (return a > 0) -> src/common/genann_mod.rs:18: body is the constant 0.0, parameters unused -- signature-only placeholder. Same mechanism as genann_act_linear: genann.h#471 declaration unit stub-reverted, genann.c#1636 definition unit emitted nothing, hence tool_claim EMPTY. Forced proposal genann_act_linear is WRONG (swapped sibling stub; C linear is identity, threshold is a step function)."
genann_init,genann.c,108,"(inputs: int, hidden_layers: int, hidden: int, outputs: int) -> genann *",genann_init,genann_init,CLAIMED,yes,Fixed_1_Compile_Success,genann_init,genann_init,0.614,0.255,genann_init,unanimous,genann_init,"genann.c:108 -> src/genann.rs:301: same four guards (hidden_layers<0, inputs<1, outputs<1, hidden_layers>0&&hidden<1), hidden_weights = (inputs+1)*hidden + (hidden_layers-1)*(hidden+1)*hidden, output_weights = (hidden_layers ? hidden+1 : inputs+1)*outputs, total_neurons = inputs + hidden*hidden_layers + outputs; delta len = total_neurons - inputs; sets both activations to genann_act_sigmoid_cached, then calls genann_randomize and genann_init_sigmoid_lookup (C lines 139-144). Forced proposal correct."
genann_read,genann.c,150,(in: FILE *) -> genann *,genann_read,genann_read,CLAIMED,yes,No_Fix_Compile_Success,genann_read,genann_read,0.357,0.079,genann_read,unanimous,genann_read,"genann.c:150 -> src/genann.rs:528: reads the 4-int header (inputs hidden_layers hidden outputs), calls genann_init, then reads total_weights doubles into ann.weight[i] (C line 164-173 ' %le' loop), printing 'fscanf: ...' on failure as C perror('fscanf'). Reader is generic R: Read with read_to_string + split_whitespace instead of fscanf. Forced proposal correct."
genann_copy,genann.c,179,(ann: const genann *) -> genann *,genann_copy,genann_copy,CLAIMED,yes,No_Fix_Compile_Success,genann_copy,genann_copy,0.507,-0.081,ABSTAIN,unanimous,genann_copy,"genann.c:179 -> src/genann.rs:16: C memcpy of the single allocation + pointer re-basing (weight/output/delta, C lines 187-189) becomes a field-by-field copy with weight (total_weights), output (total_neurons), delta (total_neurons - inputs) Vecs cloned; the Rust comment quotes the C size formula from line 180. Forced proposal correct (deploy abstained)."
genann_randomize,genann.c,195,(ann: genann *) -> void,genann_randomize,genann_randomize,CLAIMED,yes,Fixed_5_Compile_Failed,genann_randomize,genann_act_sigmoid_cached,0.49,0.02,genann_act_sigmoid_cached,CONFLICT,STUB:genann_randomize,"genann.c:195 (for i < total_weights: weight[i] = GENANN_RANDOM() - 0.5) -> src/genann.rs:12-15: body is 'Stub implementation: does nothing' (let _ = ann); metadata tag Fixed_5_Compile_Failed = stub revert. Signature corresponds (Option<&mut Genann>), body is a no-op -> STUB. Forced proposal genann_act_sigmoid_cached is WRONG: that fn (genann.rs:105) is a lookup-table activation returning f64 and never writes weights."
genann_free,genann.c,205,(ann: genann *) -> void,,,ELIDED,,Free_Function,,genann_run,0.371,-0.03,ABSTAIN,tool-says-elided,NONE,"genann.c:205 free(ann); metadata tag Free_Function, rust_definition_name empty (elided by design). Grep of src/ finds no impl Drop, no free/destroy fn; Genann is returned as Box<Genann> from genann_init/genann_read and dropped by ownership. Forced proposal genann_run is WRONG: Rust genann_run (genann.rs:161) is the forward pass (asserts on inputs/output/weight sizes), not a deallocator."
genann_run,genann.c,211,"(ann: const genann *, inputs: const double *) -> const double *",genann_run,genann_run,CLAIMED,yes,Fixed_1_Compile_Success,genann_run,,,,NONE,single-source,genann_run,"genann.c:211 -> src/genann.rs:161: same name/params (Option<&Genann>, Option<&[f64]>) -> Option<&[f64]>, None-checks, then asserts inputs.len()>=ann.inputs, output.len()>=total_neurons, weight.len()>=total_weights. Translation defect (tool tag Fixed_1_Compile_Success): the live body then unconditionally panic!()s ('requires mutable access'); the actual forward pass (bias weight * -1.0, per-layer sums, act_hidden/act_output dispatch, the w==total_weights / o==total_neurons sanity asserts) is present only as commented-out code at genann.rs:224-299. Labeled as the correspondence (not STUB) because it is not a signature-only no-op/constant placeholder but a defective translation; reviewer may downgrade to STUB:genann_run. Forced matcher proposal is (none) -- WRONG: Rust genann_run exists at genann.rs:161 and the forced run instead gave it to genann_free."
genann_train,genann.c,278,"(ann: const genann *, inputs: const double *, desired_outputs: const double *, learning_rate: double) -> void",genann_train,genann_train,CLAIMED,yes,Fixed_2_Compile_Success,genann_train,genann_train,0.367,0.056,genann_train,unanimous,genann_train,"genann.c:278 -> src/genann.rs:355: calls genann_run first, output-layer delta = (t-o)*o*(1-o) unless activation_output == genann_act_linear (then t-o) (C lines 292-302 -> Rust 390-408 with std::ptr::eq), hidden deltas backwards with windex = k*(hidden+1)+(j+1) and d = o*(1-o)*sum (C 320-333 -> Rust 427-442), then output/hidden weight updates w += d*lr*-1.0 (bias) and w += d*lr*i[k-1] (C 353-389 -> Rust 466-518). Defects: works on local_delta/local_weight clones and never writes back (comment at 524-526); genann_run panics so this always panics at runtime. Forced proposal correct."
genann_write,genann.c,396,"(ann: const genann *, out: FILE *) -> void",genann_write,genann_write,CLAIMED,yes,No_Fix_Compile_Success,genann_write,genann_act_output_indirect,0.276,-0.352,ABSTAIN,CONFLICT,genann_write,"genann.c:396 -> src/genann.rs:61: writes header '{} {} {} {}' (inputs hidden_layers hidden outputs) then ' {:.20e}' per weight for i < total_weights, no trailing newline (C '%d %d %d %d' + ' %.20e'; Rust's {:e} exponent formatting differs from C's e+00 form). Forced proposal genann_act_output_indirect is WRONG: that fn (genann.rs:140) is a one-line fn-pointer dispatch returning f64, no I/O."
