rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lil_append_string,src/common/lil_mod.rs,69,"(val: Option<&mut _lil_value_t>, s: Option<&str>) -> i32",yes,,lil_append_string,lil_append_string
lil_arg,src/common/lil_mod.rs,98,"(argv: Option<&'a [&'a _lil_value_t]>, index: usize) -> Option<&'a _lil_value_t>",yes,,lil_arg,lil_arg
ee_skip_spaces,src/common/lil_mod.rs,104,(ee: Option<&mut Expreval>) -> (),yes,,ee_skip_spaces,ee_skip_spaces
lil_append_val,src/common/lil_mod.rs,124,"(val: Option<&mut _lil_value_t>, v: Option<&_lil_value_t>) -> i32",yes,,lil_append_val,lil_append_val
ee_numeric_element,src/common/lil_mod.rs,211,(ee: Option<&mut Expreval>) -> (),yes,,ee_numeric_element,ee_numeric_element
lil_alloc_list,src/common/lil_mod.rs,353,() -> Option<Box<_lil_list_t>>,yes,,lil_alloc_list,lil_alloc_list
lil_list_size,src/common/lil_mod.rs,360,(list: Option<&_lil_list_t>) -> usize,yes,,lil_list_size,lil_free_list
lil_list_get,src/common/lil_mod.rs,366,"(list: Option<&_lil_list_t>, index: usize) -> Option<&mut _lil_value_t>",yes,,lil_list_get,lil_list_get
ee_element,src/common/lil_mod.rs,389,(ee: Option<&mut Expreval>) -> (),yes,,ee_element,ee_element
lil_append_char,src/common/lil_mod.rs,420,"(val: Option<&mut _lil_value_t>, ch: char) -> i32",yes,,lil_append_char,lil_append_char
lil_alloc_env,src/common/lil_mod.rs,450,(parent: Option<Box<_lil_t>>) -> Option<Box<_lil_env_t>>,yes,,lil_alloc_env,lil_alloc_env
alloc_value,src/common/lil_mod.rs,475,(str_ptr: Option<&str>) -> Option<Box<_lil_value_t>>,yes,,alloc_value,alloc_value
islilspecial,src/common/lil_mod.rs,497,(ch: char) -> i32,yes,,islilspecial,islilspecial
lil_to_string,src/common/lil_mod.rs,512,(val: Option<&'a _lil_value_t>) -> Option<&'a mut String>,yes,,lil_to_string,lil_to_string
ee_expr,src/common/lil_mod.rs,525,(ee: Option<&mut Expreval>) -> (),yes,,ee_expr,ee_expr
ee_paren,src/common/lil_mod.rs,533,(ee: Option<&mut Expreval>) -> (),yes,,,ee_paren
ee_unary,src/common/lil_mod.rs,567,(ee: Option<&mut Expreval>) -> (),yes,,,ee_unary
ee_muldiv,src/common/lil_mod.rs,623,(ee: Option<&mut Expreval>) -> (),yes,,,ee_muldiv
ee_addsub,src/common/lil_mod.rs,850,(ee: Option<&mut Expreval>) -> (),yes,,,ee_addsub
