rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lodepng_encoder_settings_init,src/common/lodepng_mod.rs,233,(settings: Option<&mut LodePNGEncoderSettings>) -> (),yes,,,lodepng_encoder_settings_init
lodepng_chunk_private,src/lodepng.rs,321,(_chunk: Option<&u8>) -> u8,yes,,lodepng_chunk_data,lodepng_chunk_private
lodepng_chunk_ancillary,src/lodepng.rs,326,(chunk: Option<&u8>) -> u8,yes,,lodepng_chunk_safetocopy,lodepng_chunk_data
lodepng_chunk_type_equals,src/lodepng.rs,331,"(chunk: Option<&[u8]>, r#type: &str) -> u8",yes,,lodepng_chunk_private,lodepng_chunk_safetocopy
set_bit_of_reversed_stream,src/lodepng.rs,338,"(bitpointer: &mut usize, bitstream: &mut [u8], bit: u8) -> ()",,,lodepng_chunk_type,setBitOfReversedStream
lodepng_error_text,src/lodepng.rs,354,(code: u32) -> Option<&'static str>,yes,,lodepng_error_text,lodepng_error_text
lodepng_load_file,src/lodepng.rs,357,"(out: &mut Option<Vec<u8>>, outsize: &mut usize, filename: Option<&str>) -> u32",yes,,lodepng_load_file;lodepng_save_file;lodepng_decode24_file,lodepng_inspect_chunk
lodepng_filesize,src/lodepng.rs,405,(_filename: Option<&str>) -> Option<i64>,yes,,,getNumColorChannels
lodepng_buffer_file,src/lodepng.rs,408,"(_out: &mut [u8], _size: usize, _filename: Option<&str>) -> u32",yes,,,readChunk_tRNS
inchunk_function_stub,src/lodepng.rs,415,() -> i32,,,isRGBICCProfile,
add_unknown_chunks,src/lodepng.rs,422,"(out: &mut Vec<u8>, data: &mut [u8], datasize: usize) -> u32",,,isGrayICCProfile,addUnknownChunks
translated_segment,src/lodepng.rs,428,"(out: &mut [u8], scanline: &[u8], bytewidth: usize, length: usize, some_mode: u8) -> ()",,,ilog2,addPaddingBits
alloc_string,src/lodepng.rs,459,(input: Option<&str>) -> Option<String>,yes,,lodepng_set32bitInt,
reverse_bits,src/lodepng.rs,466,"(bits: u32, num: u32) -> u32",,,searchCodeIndex,reverseBits
search_code_index,src/lodepng.rs,470,"(array: Option<&[i32]>, array_size: usize, value: usize) -> usize",,,,rgba8ToPixel
translated_function,src/lodepng.rs,474,(file: &mut File) -> i64,,,lodepng_buffer_file,color_tree_init
lodepng_get32bit_int,src/lodepng.rs,494,(buffer: &[u8]) -> u32,,,lodepng_filesize,lodepng_read32bitInt
lodepng_set32bit_int,src/lodepng.rs,508,"(buffer: &mut [u8], value: u32) -> ()",,,,lodepng_set32bitInt
lodepng_chunk_safetocopy,src/lodepng.rs,515,(chunk: Option<&'a i8>) -> Option<&'a i8>,yes,,lodepng_chunk_data_const,alloc_string
lodepng_get_raw_size_lct,src/lodepng.rs,518,"(w: u32, h: u32, colortype: LodePNGColorType, bitdepth: u32) -> usize",yes,,lodepng_get_raw_size_idat,lodepng_get_raw_size_lct
read_bits_from_reversed_stream,src/lodepng.rs,526,"(bitpointer: Option<&mut i64>, bitstream: Option<&mut i8>, nbits: usize) -> u32",,,setBitOfReversedStream,readChunk_tEXt
lodepng_copy_type_from_chunk,src/lodepng.rs,533,"(chunk: Option<&i8>, type_buf: &mut [u8; 5]) -> ()",,,lodepng_chunk_ancillary,lodepng_chunk_type
lodepng_memcpy,src/lodepng.rs,541,"(out: Option<&mut [u8]>, input: Option<&[u8]>, insize: usize) -> ()",yes,,lodepng_strlen;lodepng_read32bitInt,readBitsFromReversedStream
lodepng_copy_and_terminate,src/lodepng.rs,553,"(out: Option<&mut [u8]>, input: Option<&[u8]>, insize: usize) -> ()",,,,countZeros
