c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
lodepng_malloc,lodepng.c,74,(size: size_t) -> void *,mbstowcs;wcstombs,mbstowcs,CLAIMED,yes,Fixed_1_Compile_Failed,lodepng_malloc,lodepng_malloc,0.266,-0.203,ABSTAIN,CONFLICT,STUB:lodepng_malloc,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C lodepng.c:74 malloc wrapper. src/lodepng.rs:661 `pub fn lodepng_malloc(size: usize) -> Option<&mut u8> { None }`. Rejected tool_claim mbstowcs [642] / wcstombs [653]: those are stubs of libc decls, unrelated."
lodepng_realloc,lodepng.c,82,"(ptr: void *, new_size: size_t) -> void *",atof,atof,CLAIMED,yes,Fixed_5_Compile_Failed,lodepng_realloc,bpmnode_sort,0.258,-0.082,ABSTAIN,CONFLICT,STUB:lodepng_realloc,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:82 realloc wrapper. src/lodepng.rs:611 doc 'Translation of: static void* lodepng_realloc(void* ptr, size_t new_size)', body returns None. Rejected tool_claim atof [590] (libc stub) and matcher_forced bpmnode_sort [1097] (stub for C bpmnode_sort:918, unrelated)."
lodepng_free,lodepng.c,89,(ptr: void *) -> void,lodepng_malloc;LODEPNG_VERSION_STRING,lodepng_malloc,CLAIMED,yes,Fixed_5_Compile_Failed,,uivector_init,0.157,-0.341,ABSTAIN,CONFLICT,NONE,"C:89 `static void lodepng_free(void* ptr) { free(ptr); }`. No Rust fn named lodepng_free/free anywhere (grep 'lodepng_free|fn free|drop(' over src/*.rs, src/common/*.rs: 0 hits). Rejected tool_claim lodepng_malloc [661] (different C fn), LODEPNG_VERSION_STRING (a static, common/lodepng_mod.rs:103 / lodepng.rs:660), matcher_forced uivector_init [880] (stub for C uivector_init:246)."
lodepng_memcpy,lodepng.c,120,"(dst: void *restrict, src: const void *restrict, size: size_t) -> void",lodepng_realloc,lodepng_realloc,CLAIMED,yes,Fixed_5_Compile_Failed,lodepng_memcpy,add_length_distance,0.184,-0.158,ABSTAIN,CONFLICT,STUB:lodepng_memcpy,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:120. src/lodepng.rs:541 doc 'Stub for the C function lodepng_memcpy', no-op; SECOND same-name definition src/lodepng.rs:595 doc cites the C:120 signature verbatim, also no-op (inventory keeps one entry). Rejected tool_claim lodepng_realloc [611] and matcher_forced add_length_distance [1204] (stub for C addLengthDistance:1461)."
lodepng_memset,lodepng.c,126,"(dst: void *restrict, value: int, num: size_t) -> void",,,ELIDED,,Free_Function,lodepng_memset,lodepng_memset,0.2,-0.162,ABSTAIN,tool-says-elided,AMBIGUOUS,"Two distinct-named stubs both designate C lodepng_memset:126 and neither has a body: (a) src/lodepng.rs:601 `lodepng_memset(dst, value, num)` doc 'Translation of: static void lodepng_memset(void* dst, int value, size_t num)', no-op; (b) src/lodepng.rs:568 `unnamed_loop_function(_dst, _num, _value)` doc quotes the ENTIRE memset body `for(i = 0; i < num; i++) ((char*)dst)[i] = (char)value;` (C:129), no-op. Preferred if one must be chosen: lodepng_memset [601] (exact name+signature). Both are empty -> STUB either way. Rejected tool_claim lodepng_memcpy [541]."
lodepng_strlen,lodepng.c,133,(a: const char *) -> size_t,lodepng_memcpy;lodepng_memset,lodepng_memcpy,CLAIMED,yes,Fixed_5_Compile_Failed,lodepng_strlen,lodepng_strlen,0.201,-0.251,ABSTAIN,CONFLICT,STUB:lodepng_strlen,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:133 (loop until NUL). src/lodepng.rs:559 `lodepng_strlen(a: Option<&str>) -> usize { 0 }`. Rejected tool_claim lodepng_memcpy [541], lodepng_memset [601]."
lodepng_addofl,lodepng.c,148,"(a: size_t, b: size_t, result: size_t *) -> int",unnamed_loop_function,unnamed_loop_function,CLAIMED,yes,Fixed_5_Compile_Failed,lodepng_addofl,lodepng_addofl,0.225,-0.132,ABSTAIN,CONFLICT,STUB:lodepng_addofl,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:148 `*result = a + b; return *result < a;`. src/lodepng.rs:751 `lodepng_addofl(a, b, result: &mut usize) -> u32 { 0 }`. Rejected tool_claim unnamed_loop_function [568]: its doc quotes the lodepng_memset loop, not addofl."
lodepng_mulofl,lodepng.c,157,"(a: size_t, b: size_t, result: size_t *) -> int",lodepng_strlen,lodepng_strlen,CLAIMED,yes,Fixed_2_Compile_Failed,lodepng_mulofl,lodepng_mulofl,0.205,-0.147,ABSTAIN,CONFLICT,STUB:lodepng_mulofl,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:157. src/lodepng.rs:1678 `lodepng_mulofl(a, b, out: &mut usize) -> u32 { 0 }`; second same-name def src/lodepng.rs:1683 `(line, h, total)` is a call-site-shaped stub. Rejected tool_claim lodepng_strlen [559]."
lodepng_gtofl,lodepng.c,164,"(a: size_t, b: size_t, c: size_t) -> int",lodepng_addofl,lodepng_addofl,CLAIMED,yes,Fixed_5_Compile_Failed,lodepng_gtofl,lodepng_gtofl,0.307,-0.047,ABSTAIN,CONFLICT,STUB:lodepng_gtofl,STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:164 `return a > b;` (with LODEPNG_MAX_ALLOC). src/lodepng.rs:664 `lodepng_gtofl(a: usize) -> u32 { 0 }`. Rejected tool_claim lodepng_addofl [751].
uivector_cleanup,lodepng.c,224,(p: void *) -> void,uivector;uivector_cleanup,uivector_cleanup,CLAIMED,yes,Fixed_5_Compile_Failed,uivector_cleanup,lodepng_unknown_chunks_init,0.153,-0.345,ABSTAIN,CONFLICT,STUB:uivector_cleanup,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:224. src/lodepng.rs:871 doc cites `static void uivector_cleanup(void* p)`, no-op; duplicate same-name def src/lodepng.rs:874. Rejected tool_claim lodepng_unknown_chunks_init [629] (unrelated stub)."
uivector_resize,lodepng.c,231,"(p: uivector *, size: size_t) -> unsigned int",uivector_cleanup;uivector_resize,uivector_cleanup,CLAIMED,yes,Fixed_5_Compile_Failed,uivector_resize,lodepng_state_copy,0.17,-0.188,ABSTAIN,CONFLICT,STUB:uivector_resize,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:231 (realloc data, set allocsize/size). src/lodepng.rs:877 `uivector_resize(p: Option<&mut c_void>, size: usize) -> u32 { 0 }`. Note: src/lodepng.rs:880 uivector_init's doc comment quotes a fragment of THIS function (`p->allocsize = newsize; p->data = (unsigned*)data;` C:236-238) but is named/aritied as uivector_init, so it is not the resize slot. Rejected tool_claim lodepng_state_copy, uivector_cleanup [871]."
uivector_init,lodepng.c,246,(p: uivector *) -> void,uivector_init,uivector_init,CLAIMED,yes,Fixed_5_Compile_Failed,uivector_init,getNumColorChannels,0.183,-0.353,ABSTAIN,CONFLICT,STUB:uivector_init,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:246 `p->data = NULL; p->size = p->allocsize = 0;`. src/lodepng.rs:880 `uivector_init(p: Option<&mut ()>)` no-op; name and arity match uivector_init, but its doc comment mis-cites a uivector_resize fragment. Rejected tool_claim getNumColorChannels [1461] (unrelated)."
uivector_push_back,lodepng.c,252,"(p: uivector *, c: unsigned int) -> unsigned int",uivector_push_back,uivector_push_back,CLAIMED,yes,Fixed_1_Compile_Failed,uivector_push_back,read_bits,0.149,-0.216,ABSTAIN,CONFLICT,STUB:uivector_push_back,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:252 (resize if full, then data[size]=c). src/lodepng.rs:667 `uivector_push_back(p: Option<&mut Uivector>, c: u32) -> u32 { 0 }`; duplicate same-name def src/lodepng.rs:1201 `(p: Option<&mut c_void>, size)`. Rejected tool_claim read_bits [571]."
