c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
quadtree_bounds_extend,bounds.c,3,"(bounds: quadtree_bounds_t *, x: double, y: double) -> void",quadtree_bounds_extend,quadtree_bounds_extend,CLAIMED,yes,No_Fix_Compile_Success,quadtree_bounds_extend,quadtree_bounds_extend,0.501,0.133,quadtree_bounds_extend,unanimous,quadtree_bounds_extend,"bounds.c:3 -> src/bounds.rs:14, same fmin/fmax/fabs updates on nw/se + width/height"
quadtree_bounds_free,bounds.c,12,(bounds: quadtree_bounds_t *) -> void,,,ELIDED,,,,,,,NONE,tool-says-elided,NONE,"bounds.c:12 free of nw/se/bounds; PtrTrans elided it (Box ownership, no impl Drop anywhere in the crate); no Rust fn frees bounds"
quadtree_bounds_new,bounds.c,19,() -> quadtree_bounds_t *,quadtree_bounds_new,quadtree_bounds_new,CLAIMED,yes,No_Fix_Compile_Success,quadtree_bounds_new,quadtree_bounds_new,0.391,0.131,quadtree_bounds_new,unanimous,quadtree_bounds_new,"bounds.c:19 -> src/bounds.rs:3, allocates bounds with nw=(INF,-INF) se=(-INF,INF) width=height=0"
quadtree_node_ispointer,node.c,6,(node: quadtree_node_t *) -> int,quadtree_node_ispointer,quadtree_node_ispointer,CLAIMED,yes,No_Fix_Compile_Success,quadtree_node_ispointer,quadtree_node_isempty,0.374,-0.011,ABSTAIN,CONFLICT,quadtree_node_ispointer,node.c:6 -> src/node.rs:33: nw&&ne&&sw&&se all Some && !isleaf. Matcher forced proposal quadtree_node_isempty is WRONG (isempty tests is_none)
quadtree_node_isempty,node.c,15,(node: quadtree_node_t *) -> int,quadtree_node_isempty,quadtree_node_isempty,CLAIMED,yes,No_Fix_Compile_Success,quadtree_node_isempty,quadtree_node_ispointer,0.373,-0.019,ABSTAIN,CONFLICT,quadtree_node_isempty,node.c:15 -> src/node.rs:44: all four children None && !isleaf. Matcher forced proposal quadtree_node_ispointer is WRONG
quadtree_node_isleaf,node.c,24,(node: quadtree_node_t *) -> int,quadtree_node_isleaf,quadtree_node_isleaf,CLAIMED,yes,No_Fix_Compile_Success,quadtree_node_isleaf,quadtree_node_isleaf,0.344,-0.023,ABSTAIN,unanimous,quadtree_node_isleaf,node.c:24 -> src/node.rs:14: point.is_some()
quadtree_node_reset,node.c,29,"(node: quadtree_node_t *, key_free: void (*)(void *)) -> void",,,ELIDED,,,,,,,NONE,tool-says-elided,NONE,node.c:29 (point_free + key_free callback); elided; Rust insert_ (quadtree.rs:107-113) overwrites point/key without any reset call
quadtree_node_new,node.c,36,() -> quadtree_node_t *,quadtree_node_new,quadtree_node_new,CLAIMED,yes,No_Fix_Compile_Success,quadtree_node_new,quadtree_node_new,0.287,-0.06,ABSTAIN,unanimous,quadtree_node_new,node.c:36 -> src/node.rs:2: Box::new(QuadtreeNode{all None})
quadtree_node_with_bounds,node.c,50,"(minx: double, miny: double, maxx: double, maxy: double) -> quadtree_node_t *",quadtree_node_with_bounds,quadtree_node_with_bounds,CLAIMED,yes,No_Fix_Compile_Success,quadtree_node_with_bounds,quadtree_node_with_bounds,0.463,0.03,quadtree_node_with_bounds,unanimous,quadtree_node_with_bounds,node.c:50 -> src/node.rs:20: node_new + bounds_new + two bounds_extend calls
quadtree_node_free,node.c,62,"(node: quadtree_node_t *, key_free: void (*)(void *)) -> void",,,ELIDED,,,,,,,NONE,tool-says-elided,NONE,"node.c:62 recursive free; elided, no Drop impl"
