rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
strdup,src/common/url_mod.rs,5,(str_ptr: Option<&i8>) -> Option<Box<[i8]>>,yes,,strdup,strdup
url_is_ssh,src/common/url_mod.rs,231,(str_ptr: Option<&i8>) -> bool,yes,,url_is_ssh,url_is_ssh
strff,src/common/url_mod.rs,258,"(ptr: Option<&i8>, n: i32) -> Option<Box<[i8]>>",yes,,strff,strff
strrwd,src/common/url_mod.rs,275,"(ptr: Option<&i8>, n: i32) -> Option<Box<[i8]>>",yes,,strrwd,strrwd
url_is_protocol,src/common/url_mod.rs,306,(str: Option<&str>) -> bool,yes,,url_is_protocol,url_is_protocol
get_part,src/common/url_mod.rs,318,"(url: Option<&i8>, format: Option<&i8>, l: i32) -> Option<Box<[i8]>>",yes,,get_part,get_part
url_get_protocol,src/common/url_mod.rs,373,(url: Option<&CStr>) -> Option<String>,yes,,url_get_protocol,url_get_protocol
url_parse,src/common/url_mod.rs,396,(url: Option<&'a mut [i8]>) -> Option<UrlData<'a>>,yes,,url_parse,url_parse
url_get_auth,src/common/url_mod.rs,715,(url: Option<&i8>) -> Option<Box<[i8]>>,yes,,url_get_auth,url_get_auth
url_data_inspect,src/common/url_mod.rs,718,(data: Option<&UrlData<'a>>) -> (),yes,,url_data_inspect,url_data_inspect
url_get_hostname,src/common/url_mod.rs,749,(url: Option<&i8>) -> Option<Box<[i8]>>,yes,,url_get_hostname,url_get_path
url_inspect,src/common/url_mod.rs,793,(url: Option<&[i8]>) -> (),yes,,url_inspect,url_inspect
url_get_host,src/common/url_mod.rs,816,(url: Option<&i8>) -> Option<Box<[i8]>>,yes,,url_get_host,url_get_host
url_get_path,src/common/url_mod.rs,830,(url: Option<&i8>) -> Option<Box<[i8]>>,yes,,url_get_path,url_get_pathname
url_get_port,src/common/url_mod.rs,875,(url: Option<&i8>) -> Option<Box<[i8]>>,yes,,url_get_port,url_get_port
url_get_pathname,src/common/url_mod.rs,922,(url: Option<&i8>) -> Option<Box<[i8]>>,yes,,url_get_pathname,url_get_hostname
url_get_search,src/common/url_mod.rs,944,(url: Option<&c_char>) -> Option<Box<[c_char]>>,yes,,url_get_search,url_get_search
url_get_query,src/common/url_mod.rs,1037,(url: Option<&c_char>) -> Option<Box<[c_char]>>,yes,,url_get_query,url_get_query
url_get_hash,src/common/url_mod.rs,1057,(url: Option<&i8>) -> Option<Box<[i8]>>,yes,,url_get_hash,url_get_hash
main,src/test.rs,6,() -> i32,yes,,main,main
