rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
fallbackSimpleSort,src/lib.rs,17,"(fmap: *mut libc::c_uint, eclass: *const libc::c_uint, lo: libc::c_int, hi: libc::c_int) -> ()",yes,,,fallbackSimpleSort
mainGtU,src/lib.rs,68,"(i1: u32, i2: u32, block: *const u8, quadrant: *const u16, nblock: u32, budget: *mut i32) -> bool",yes,,,mainGtU
mmed3,src/lib.rs,281,"(a: libc::c_uchar, b: libc::c_uchar, c: libc::c_uchar) -> libc::c_uchar",yes,,,mmed3
BZ2_bzCompressEnd,src/lib.rs,1402,(strm: *mut bz_stream) -> ::core::ffi::c_int,yes,,,BZ2_bzCompressEnd
BZ2_bzDecompressEnd,src/lib.rs,1437,(strm: *mut bz_stream) -> ::core::ffi::c_int,yes,,,BZ2_bzDecompressInit
BZ2_bz__AssertH__fail,src/lib.rs,1475,(errcode: libc::c_int) -> (),yes,,,BZ2_bz__AssertH__fail
BZ2_bzflush,src/lib.rs,1522,(b: *mut libc::c_void) -> libc::c_int,yes,,,BZ2_bzflush
BZ2_bzlibVersion,src/lib.rs,1528,() -> *const libc::c_char,yes,,,BZ2_bzlibVersion
BZ2_indexIntoF,src/lib.rs,1534,"(indx: i32, cftab: *mut i32) -> i32",yes,,,BZ2_indexIntoF
add_pair_to_block,src/lib.rs,1554,(s: *mut EState) -> (),yes,,,add_pair_to_block
bz_config_ok,src/lib.rs,1605,() -> libc::c_int,yes,,,bz_config_ok
copy_output_until_stop,src/lib.rs,1623,(s: *mut EState) -> bool,yes,,,copy_output_until_stop
default_bzalloc,src/lib.rs,1649,"(opaque: *mut c_void, items: c_int, size: c_int) -> *mut c_void",yes,,,default_bzalloc
default_bzfree,src/lib.rs,1660,"(opaque: *mut libc::c_void, addr: *mut libc::c_void) -> ()",yes,,,default_bzfree
init_RL,src/lib.rs,1668,(s: *mut EState) -> (),yes,,,init_RL
isempty_RL,src/lib.rs,1677,(s: *mut EState) -> ::core::ffi::c_int,yes,,,isempty_RL
myfeof,src/lib.rs,1687,(f: *mut libc::FILE) -> libc::c_int,yes,,,BZ2_bzwrite
prepare_new_block,src/lib.rs,1698,(s: *mut EState) -> (),yes,,,prepare_new_block
unRLE_obuf_to_output_FAST,src/lib.rs,1714,(s: *mut DState) -> ::core::ffi::c_int,yes,,,unRLE_obuf_to_output_SMALL
BZ2_bsInitWrite,src/lib.rs,1988,(s: *mut EState) -> (),yes,,,BZ2_bsInitWrite
bsFinishWrite,src/lib.rs,1997,(s: *mut EState) -> (),yes,,,bsFinishWrite
bsW,src/lib.rs,2009,"(s: *mut EState, n: i32, v: u32) -> ()",yes,,,bsW
makeMaps_e,src/lib.rs,2022,(s: *mut EState) -> (),yes,,,generateMTFValues
makeMaps_d,src/lib.rs,2043,(s: *mut DState) -> (),yes,,,makeMaps_d
BZ2_hbAssignCodes,src/lib.rs,2063,"(code: *mut libc::c_int, length: *mut libc::c_uchar, minLen: libc::c_int, maxLen: libc::c_int, alphaSize: libc::c_int) -> ()",yes,,,BZ2_hbAssignCodes
BZ2_hbCreateDecodeTables,src/lib.rs,2091,"(limit: *mut libc::c_int, base: *mut libc::c_int, perm: *mut libc::c_int, length: *mut libc::c_uchar, minLen: libc::c_int, maxLen: libc::c_int, alphaSize: libc::c_int) -> ()",yes,,,BZ2_hbCreateDecodeTables
BZ2_hbMakeCodeLengths,src/lib.rs,2161,"(len: *mut libc::c_uchar, freq: *mut libc::c_int, alphaSize: libc::c_int, maxLen: libc::c_int) -> ()",yes,,,BZ2_hbMakeCodeLengths
BZ2_bzCompressInit,src/lib.rs,2312,"(strm: *mut bz_stream, blockSize100k: libc::c_int, verbosity: libc::c_int, workFactor: libc::c_int) -> libc::c_int",yes,,,BZ2_bzCompressInit
BZ2_bzReadGetUnused,src/lib.rs,2434,"(bzerror: *mut c_int, b: *mut BZFILE, unused: *mut *mut c_void, nUnused: *mut c_int) -> ()",yes,,,BZ2_bzReadGetUnused
BZ2_bzerror,src/lib.rs,2474,"(b: *mut bzFile, errnum: *mut ::core::ffi::c_int) -> *const ::core::ffi::c_char",yes,,,BZ2_bzerror
bsPutUInt32,src/lib.rs,2493,"(s: *mut EState, u: u32) -> ()",yes,,,bsPutUInt32
flush_RL,src/lib.rs,2503,(s: *mut EState) -> (),yes,,,flush_RL
