rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
genann_act_hidden_indirect,src/lib.rs,28,"(ann: *const genann, a: ::core::ffi::c_double) -> ::core::ffi::c_double",yes,,,genann_act_hidden_indirect
genann_act_output_indirect,src/lib.rs,38,"(ann: *const genann, a: f64) -> f64",yes,,,genann_act_output_indirect
genann_act_sigmoid,src/lib.rs,49,"(ann: *const genann, a: f64) -> f64",yes,,,genann_act_sigmoid
genann_init_sigmoid_lookup,src/lib.rs,59,(ann: *const genann) -> (),yes,,,genann_init_sigmoid_lookup
genann_act_sigmoid_cached,src/lib.rs,70,"(ann: *const crate::genann, a: libc::c_double) -> libc::c_double",yes,,,genann_act_sigmoid_cached
genann_act_linear,src/lib.rs,110,"(ann: *const genann, a: libc::c_double) -> libc::c_double",yes,,,genann_act_linear
genann_act_threshold,src/lib.rs,114,"(ann: *const genann, a: f64) -> f64",yes,,,genann_act_threshold
genann_init,src/lib.rs,119,"(inputs: libc::c_int, hidden_layers: libc::c_int, hidden: libc::c_int, outputs: libc::c_int) -> *mut genann",yes,,,genann_init
genann_read,src/lib.rs,173,(in_: *mut libc::FILE) -> *mut genann,yes,,,genann_read
genann_copy,src/lib.rs,215,(ann: *const genann) -> *mut genann,yes,,,genann_copy
genann_randomize,src/lib.rs,241,(ann: *mut genann) -> (),yes,,,genann_randomize
genann_free,src/lib.rs,262,(ann: *mut genann) -> (),yes,,,genann_free
genann_run,src/lib.rs,265,"(ann: *const genann, inputs: *const f64) -> *const f64",yes,,,genann_run
genann_train,src/lib.rs,400,"(ann: *const genann, inputs: *const f64, desired_outputs: *const f64, learning_rate: f64) -> ()",yes,,,genann_train
genann_write,src/lib.rs,573,"(ann: *const genann, out: *mut libc::FILE) -> ()",yes,,,genann_write
