c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
genann_act_hidden_indirect,genann.c,45,"(ann: const struct genann *, a: double) -> double",,,NO_MAP,,,genann_act_hidden_indirect,genann_act_hidden_indirect,0.709,0.0,ABSTAIN,single-source,genann_act_hidden_indirect,"genann.c:45 -> assembled_translation.rs:28, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_act_output_indirect,genann.c,49,"(ann: const struct genann *, a: double) -> double",,,NO_MAP,,,genann_act_output_indirect,genann_act_output_indirect,0.704,-0.005,ABSTAIN,single-source,genann_act_output_indirect,"genann.c:49 -> assembled_translation.rs:38, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_act_sigmoid,genann.c,70,"(ann: const genann *, a: double) -> double",,,NO_MAP,,,genann_act_sigmoid,genann_act_sigmoid,0.695,0.266,genann_act_sigmoid,single-source,genann_act_sigmoid,"genann.c:70 -> assembled_translation.rs:49, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_init_sigmoid_lookup,genann.c,76,(ann: const genann *) -> void,,,NO_MAP,,,genann_init_sigmoid_lookup,genann_init_sigmoid_lookup,0.683,0.212,genann_init_sigmoid_lookup,single-source,genann_init_sigmoid_lookup,"genann.c:76 -> assembled_translation.rs:59, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_act_sigmoid_cached,genann.c,86,"(ann: const genann *, a: double) -> double",,,NO_MAP,,,genann_act_sigmoid_cached,genann_act_sigmoid_cached,0.55,0.101,genann_act_sigmoid_cached,single-source,genann_act_sigmoid_cached,"genann.c:86 -> assembled_translation.rs:70, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_act_linear,genann.c,100,"(ann: const struct genann *, a: double) -> double",,,NO_MAP,,,genann_act_linear,genann_act_linear,0.704,0.212,genann_act_linear,single-source,genann_act_linear,"genann.c:100 -> assembled_translation.rs:110, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_act_threshold,genann.c,104,"(ann: const struct genann *, a: double) -> double",,,NO_MAP,,,genann_act_threshold,genann_act_threshold,0.716,0.224,genann_act_threshold,single-source,genann_act_threshold,"genann.c:104 -> assembled_translation.rs:114, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_init,genann.c,108,"(inputs: int, hidden_layers: int, hidden: int, outputs: int) -> genann *",,,NO_MAP,,,genann_init,genann_init,0.602,0.267,genann_init,single-source,genann_init,"genann.c:108 -> assembled_translation.rs:119, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_read,genann.c,150,(in: FILE *) -> genann *,,,NO_MAP,,,genann_read,genann_read,0.584,0.28,genann_read,single-source,genann_read,"genann.c:150 -> assembled_translation.rs:173, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_copy,genann.c,179,(ann: const genann *) -> genann *,,,NO_MAP,,,genann_copy,genann_copy,0.663,0.226,genann_copy,single-source,genann_copy,"genann.c:179 -> assembled_translation.rs:215, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_randomize,genann.c,195,(ann: genann *) -> void,,,NO_MAP,,,genann_randomize,genann_randomize,0.643,0.172,genann_randomize,single-source,genann_randomize,"genann.c:195 -> assembled_translation.rs:241, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_free,genann.c,205,(ann: genann *) -> void,,,NO_MAP,,,genann_free,genann_free,0.659,0.257,genann_free,single-source,genann_free,"genann.c:205 -> assembled_translation.rs:262, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_run,genann.c,211,"(ann: const genann *, inputs: const double *) -> const double *",,,NO_MAP,,,genann_run,genann_run,0.589,0.176,genann_run,single-source,genann_run,"genann.c:211 -> assembled_translation.rs:265, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_train,genann.c,278,"(ann: const genann *, inputs: const double *, desired_outputs: const double *, learning_rate: double) -> void",,,NO_MAP,,,genann_train,genann_train,0.705,0.401,genann_train,single-source,genann_train,"genann.c:278 -> assembled_translation.rs:400, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
genann_write,genann.c,396,"(ann: const genann *, out: FILE *) -> void",,,NO_MAP,,,genann_write,genann_write,0.427,0.031,genann_write,single-source,genann_write,"genann.c:396 -> assembled_translation.rs:573, same name and signature; SACTOR keeps C names (unsafe extern fn), helpers nested inside (e.g. genann_random inside genann_randomize, assert_expr inside genann_run) are not inventory entries"
