rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
Adam7_getpassvalues,src/lib.rs,1161,"(passw: *mut u32, passh: *mut u32, filter_passstart: *mut libc::size_t, padded_passstart: *mut libc::size_t, passstart: *mut libc::size_t, w: u32, h: u32, bpp: u32) -> ()",yes,,,lodepng_get_raw_size_lct
HuffmanTree_init,src/lib.rs,1210,(tree: *mut HuffmanTree) -> (),yes,,,generateFixedDistanceTree
LodePNGBitWriter_init,src/lib.rs,1220,"(writer: *mut LodePNGBitWriter, data: *mut ucvector) -> ()",yes,,,LodePNGBitWriter_init
addColorBits,src/lib.rs,1229,"(out: *mut u8, index: libc::size_t, bits: u32, input: u32) -> ()",yes,,,addColorBits
advanceBits,src/lib.rs,1257,"(reader: *mut LodePNGBitReader, nbits: libc::size_t) -> ()",yes,,,advanceBits
bpmnode_create,src/lib.rs,1263,"(lists: *mut BPMLists, weight: ::core::ffi::c_int, index: ::core::ffi::c_uint, tail: *mut BPMNode) -> *mut BPMNode",yes,,,bpmnode_create
checkColorValidity,src/lib.rs,1326,"(colortype: LodePNGColorType, bd: u32) -> u32",yes,,,checkColorValidity
color_tree_get,src/lib.rs,1364,"(tree: *mut ColorTree, r: u8, g: u8, b: u8, a: u8) -> ::core::ffi::c_int",yes,,,color_tree_get
countZeros,src/lib.rs,1398,"(data: *const libc::c_uchar, size: libc::size_t, pos: libc::size_t) -> libc::c_uint",yes,,,writeBitsReversed
ensureBits17,src/lib.rs,1418,"(reader: *mut LodePNGBitReader, nbits: libc::size_t) -> ()",yes,,,ensureBits17
ensureBits25,src/lib.rs,1452,"(reader: *mut LodePNGBitReader, nbits: libc::size_t) -> ()",yes,,,ensureBits25
ensureBits32,src/lib.rs,1484,"(reader: *mut LodePNGBitReader, nbits: libc::size_t) -> ()",yes,,,ensureBits32
ensureBits9,src/lib.rs,1525,"(reader: *mut LodePNGBitReader, nbits: libc::size_t) -> ()",yes,,,ensureBits9
getHash,src/lib.rs,1549,"(data: *const libc::c_uchar, size: libc::size_t, pos: libc::size_t) -> libc::c_uint",yes,,,getHash
getNumColorChannels,src/lib.rs,1577,(colortype: LodePNGColorType) -> u32,yes,,,lodepng_compress_settings_init
getValueRequiredBits,src/lib.rs,1590,(value: u8) -> u32,yes,,,getValueRequiredBits
ilog2,src/lib.rs,1601,(i: libc::size_t) -> libc::size_t,yes,,,ilog2
isGrayICCProfile,src/lib.rs,1626,"(profile: *const u8, size: u32) -> u32",yes,,,isRGBICCProfile
isRGBICCProfile,src/lib.rs,1644,"(profile: *const u8, size: u32) -> u32",yes,,,isGrayICCProfile
lodepng_addofl,src/lib.rs,1662,"(a: libc::size_t, b: libc::size_t, result: *mut libc::size_t) -> libc::c_int",yes,,,lodepng_addofl
lodepng_buffer_file,src/lib.rs,1674,"(out: *mut u8, size: libc::size_t, filename: *const libc::c_char) -> u32",yes,,,lodepng_chunk_check_crc
lodepng_chunk_ancillary,src/lib.rs,1693,(chunk: *const u8) -> u8,yes,,,lodepng_chunk_safetocopy
lodepng_chunk_data,src/lib.rs,1702,(chunk: *mut u8) -> *mut u8,yes,,,lodepng_chunk_data
lodepng_chunk_data_const,src/lib.rs,1707,(chunk: *const libc::c_uchar) -> *const libc::c_uchar,yes,,,addChunk_IEND
lodepng_chunk_private,src/lib.rs,1712,(chunk: *const u8) -> u8,yes,,,lodepng_chunk_private
lodepng_chunk_safetocopy,src/lib.rs,1721,(chunk: *const u8) -> u8,yes,,,lodepng_chunk_ancillary
lodepng_chunk_type,src/lib.rs,1731,"(r#type: *mut libc::c_char, chunk: *const libc::c_uchar) -> ()",yes,,,lodepng_chunk_type
lodepng_color_stats_init,src/lib.rs,1744,(stats: *mut LodePNGColorStats) -> (),yes,,,lodepng_color_stats_init
lodepng_compress_settings_init,src/lib.rs,1762,(settings: *mut LodePNGCompressSettings) -> (),yes,,,lodepng_encoder_settings_init
lodepng_crc32,src/lib.rs,1775,"(data: *const u8, length: usize) -> u32",yes,,,lodepng_crc32
lodepng_decompress_settings_init,src/lib.rs,1788,(settings: *mut LodePNGDecompressSettings) -> (),yes,,,lodepng_palette_clear
lodepng_error_text,src/lib.rs,1801,(code: libc::c_uint) -> *const libc::c_char,yes,,,lodepng_error_text
lodepng_filesize,src/lib.rs,2113,(filename: *const libc::c_char) -> libc::c_long,yes,,,lodepng_filesize
lodepng_free,src/lib.rs,2134,(ptr: *mut libc::c_void) -> (),yes,,,lodepng_free
