c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
lodepng_malloc,lodepng.c,74,(size: size_t) -> void *,,,NO_MAP,,,lodepng_malloc,lodepng_malloc,0.293,-0.178,ABSTAIN,single-source,lodepng_malloc,"lodepng.c:74-79 lodepng_malloc(size): return malloc(size) (the LODEPNG_MAX_ALLOC guard at :75-77 is #ifdef'd out in this build) -> assembled_unidiomatic.rs:2148-2151 lodepng_malloc(size: size_t) -> *mut c_void: malloc(size). Identical one-line wrapper; genuine. Verified file (translated_code_unidiomatic/functions/lodepng_malloc.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_malloc: correct. Forced matcher lodepng_malloc (score 0.293, conf -0.178): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_realloc,lodepng.c,82,"(ptr: void *, new_size: size_t) -> void *",,,NO_MAP,,,lodepng_realloc,lodepng_realloc,0.242,-0.018,ABSTAIN,single-source,lodepng_realloc,"lodepng.c:82-87 lodepng_realloc(ptr, new_size): return realloc(ptr, new_size) (LODEPNG_MAX_ALLOC guard #ifdef'd out) -> assembled_unidiomatic.rs:2192-2205 lodepng_realloc: realloc(ptr, new_size); the translator even reproduced the guard as a `#[cfg(LODEPNG_MAX_ALLOC)]` block (rs:2195-2203, inactive). Genuine. Verified file (translated_code_unidiomatic/functions/lodepng_realloc.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_realloc: correct. Forced matcher lodepng_realloc (score 0.242, conf -0.018): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_free,lodepng.c,89,(ptr: void *) -> void,,,NO_MAP,,,lodepng_free,lodepng_free,0.19,-0.369,ABSTAIN,single-source,lodepng_free,"lodepng.c:89-91 lodepng_free(ptr): free(ptr) -> assembled_unidiomatic.rs:2134-2138 lodepng_free(ptr: *mut c_void): libc::free(ptr). Identical; genuine. Verified file (translated_code_unidiomatic/functions/lodepng_free.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_free: correct. Forced matcher lodepng_free (score 0.19, conf -0.369): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_memcpy,lodepng.c,120,"(dst: void *restrict, src: const void *restrict, size: size_t) -> void",,,NO_MAP,,,lodepng_memcpy,lodepng_save_file,0.206,-0.176,ABSTAIN,CONFLICT,lodepng_memcpy,"lodepng.c:120-124 lodepng_memcpy(dst, src, size): byte loop ((char*)dst)[i] = ((const char*)src)[i] -> assembled_unidiomatic.rs:2154-2164 lodepng_memcpy: same byte loop over c_char pointers (rs:2158-2162). Genuine. The forced matcher paired this row with lodepng_save_file (rs:2209, an fopen/fwrite/fclose function) instead: wrong. Verified file (translated_code_unidiomatic/functions/lodepng_memcpy.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_memcpy: correct. Forced matcher lodepng_save_file (score 0.206, conf -0.176): WRONG. Deploy matcher ABSTAIN: coverage loss only."
lodepng_memset,lodepng.c,126,"(dst: void *restrict, value: int, num: size_t) -> void",,,NO_MAP,,,lodepng_memset,lodepng_memset,0.143,-0.158,ABSTAIN,single-source,lodepng_memset,"lodepng.c:126-130 lodepng_memset(dst, value, num): byte loop storing (char)value -> assembled_unidiomatic.rs:2167-2173 lodepng_memset: same loop, `value as c_char` (rs:2169-2172). Genuine. Verified file (translated_code_unidiomatic/functions/lodepng_memset.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_memset: correct. Forced matcher lodepng_memset (score 0.143, conf -0.158): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_strlen,lodepng.c,133,(a: const char *) -> size_t,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:133-139 lodepng_strlen(a: const char *) -> size_t: counts bytes up to the NUL terminator. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 181 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
lodepng_addofl,lodepng.c,148,"(a: size_t, b: size_t, result: size_t *) -> int",,,NO_MAP,,,lodepng_addofl,lodepng_addofl,0.258,0.007,ABSTAIN,single-source,lodepng_addofl,"lodepng.c:148-151 lodepng_addofl(a, b, result): *result = a + b; return *result < a -> assembled_unidiomatic.rs:1662-1671 lodepng_addofl: *result = a.wrapping_add(b); 1 if *result < a else 0. Same overflow test; genuine. Verified file (translated_code_unidiomatic/functions/lodepng_addofl.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_addofl: correct. Forced matcher lodepng_addofl (score 0.258, conf 0.007): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_mulofl,lodepng.c,157,"(a: size_t, b: size_t, result: size_t *) -> int",,,NO_MAP,,,lodepng_mulofl,lodepng_mulofl,0.145,-0.146,ABSTAIN,single-source,lodepng_mulofl,"lodepng.c:157-160 lodepng_mulofl(a, b, result): *result = a * b; return a != 0 && *result / a != b -> assembled_unidiomatic.rs:2176-2179 lodepng_mulofl(a, b, result: &mut size_t): wrapping_mul, same (a != 0 && *result / a != b) as c_int. Same logic; the only difference is the `&mut` instead of a raw pointer (ABI-level, no semantic change). Genuine. Verified file (translated_code_unidiomatic/functions/lodepng_mulofl.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_mulofl: correct. Forced matcher lodepng_mulofl (score 0.145, conf -0.146): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_gtofl,lodepng.c,164,"(a: size_t, b: size_t, c: size_t) -> int",,,NO_MAP,,,lodepng_gtofl,lodepng_gtofl,0.218,0.008,ABSTAIN,single-source,lodepng_gtofl,"lodepng.c:164-168 lodepng_gtofl(a, b, c): if lodepng_addofl(a, b, &d) return 1; return d > c -> assembled_unidiomatic.rs:2610-2616 lodepng_gtofl (private `fn`, matching the C `static`): same addofl call with &mut d, return 1 on overflow, else (d > c) as int. Genuine. Log-extracted single attempt (run1_extracted_rust/lodepng_gtofl.rs, attempt 1 of 1, status untranslated): the Rust compiled, but SACTOR's per-function link step failed with `undefined reference to lodepng_addofl` (the callee is `static` in lodepng.c and not exported from the C object SACTOR links against; run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`), which aborted the TU. Tool-side link failure, not a defect of this body. Name-eq lodepng_gtofl: correct. Forced matcher lodepng_gtofl (score 0.218, conf 0.008): correct. Deploy matcher ABSTAIN: coverage loss only."
uivector_cleanup,lodepng.c,224,(p: void *) -> void,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:224-228 uivector_cleanup(p: void *) -> void: size = allocsize = 0, lodepng_free(data), data = NULL. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 75 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
