rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
quadtree_point_free,src/lib.rs,36,(point: *mut quadtree_point) -> (),yes,,,quadtree_point_free
quadtree_point_new,src/lib.rs,41,"(x: f64, y: f64) -> *mut quadtree_point",yes,,,quadtree_point_new
quadtree_bounds_extend,src/lib.rs,52,"(bounds: *mut quadtree_bounds, x: f64, y: f64) -> ()",yes,,,quadtree_bounds_extend
quadtree_bounds_free,src/lib.rs,86,(bounds: *mut quadtree_bounds) -> (),yes,,,quadtree_bounds_free
quadtree_bounds_new,src/lib.rs,99,() -> *mut quadtree_bounds,yes,,,quadtree_bounds_new
quadtree_node_free,src/lib.rs,113,"(node: *mut quadtree_node, key_free: unsafe extern ""C"" fn(*mut ::core::ffi::c_void)) -> ()",yes,,,quadtree_node_free
quadtree_node_isempty,src/lib.rs,138,(node: *mut quadtree_node) -> ::core::ffi::c_int,yes,,,quadtree_node_isempty
quadtree_node_isleaf,src/lib.rs,152,(node: *mut quadtree_node) -> ::core::ffi::c_int,yes,,,quadtree_node_isleaf
quadtree_node_ispointer,src/lib.rs,157,(node: *mut quadtree_node) -> ::core::ffi::c_int,yes,,,quadtree_node_ispointer
quadtree_node_new,src/lib.rs,171,() -> *mut quadtree_node,yes,,,quadtree_node_new
quadtree_node_reset,src/lib.rs,189,"(node: *mut quadtree_node, key_free: unsafe extern ""C"" fn(*mut ::core::ffi::c_void)) -> ()",yes,,,quadtree_node_reset
quadtree_node_with_bounds,src/lib.rs,198,"(minx: f64, miny: f64, maxx: f64, maxy: f64) -> *mut quadtree_node",yes,,,quadtree_node_with_bounds
