rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
ti_ad_start,src/lib.rs,9,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_sub_start
ti_adosc_start,src/lib.rs,14,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_obv
ti_ao_start,src/lib.rs,19,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_version
ti_apo_start,src/lib.rs,24,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_tanh_start
ti_aroon_start,src/lib.rs,29,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_mul_start
ti_aroonosc_start,src/lib.rs,34,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_stream_get_progress
ti_avgprice_start,src/lib.rs,39,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_crossany_start
ti_bbands_start,src/lib.rs,45,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_result_at
ti_bop_start,src/lib.rs,50,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_add_start
ti_buffer_new,src/lib.rs,56,(size: ::core::ffi::c_int) -> *mut ti_buffer,yes,,,ti_typprice
ti_cci_start,src/lib.rs,69,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_medprice
ti_cmo_start,src/lib.rs,75,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_result_count
ti_crossany_start,src/lib.rs,80,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_cosh_start
ti_crossover_start,src/lib.rs,86,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_ceil_start
ti_cvi_start,src/lib.rs,92,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_edecay
ti_decay_start,src/lib.rs,98,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_asin_start
ti_dema_start,src/lib.rs,104,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_result_new
ti_dpo_start,src/lib.rs,110,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_wcprice_start
ti_edecay_start,src/lib.rs,116,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_bop_start
ti_ema_start,src/lib.rs,122,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_tan_start
ti_emv_start,src/lib.rs,127,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_ad_start
ti_fisher_start,src/lib.rs,133,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_crossany
ti_hma_start,src/lib.rs,139,(options: *const libc::c_double) -> c_int,yes,,,ti_find_indicator
ti_kama_start,src/lib.rs,146,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_get_info
ti_kvo_start,src/lib.rs,151,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_cos_start
ti_lag_start,src/lib.rs,157,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_sin_start
ti_macd_start,src/lib.rs,162,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_result_get
ti_marketfi_start,src/lib.rs,168,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_sqrt_start
ti_mass_start,src/lib.rs,173,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_stream_get_info
ti_max_start,src/lib.rs,179,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_find_candle
ti_md_start,src/lib.rs,184,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_adosc_start
ti_medprice_start,src/lib.rs,189,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_atr_stream_free
ti_mfi_start,src/lib.rs,195,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_obv_start
ti_min_start,src/lib.rs,200,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_sinh_start
ti_mom_start,src/lib.rs,205,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_round_start
ti_msw_start,src/lib.rs,210,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_log10_start
ti_nvi_start,src/lib.rs,215,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_avgprice_start
ti_obv_start,src/lib.rs,221,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_atan_start
ti_ppo_start,src/lib.rs,227,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_crossover_start
ti_psar_start,src/lib.rs,233,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_div_start
ti_pvi_start,src/lib.rs,239,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_decay_start
ti_qstick_start,src/lib.rs,245,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_crossover
ti_roc_start,src/lib.rs,250,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_result_pattern_count
ti_rocr_start,src/lib.rs,255,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_medprice_start
ti_rsi_start,src/lib.rs,260,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_floor_start
ti_sma_start,src/lib.rs,265,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_todeg_start
ti_stddev_start,src/lib.rs,271,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_torad_start
ti_stderr_start,src/lib.rs,277,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_trunc_start
ti_stoch_start,src/lib.rs,283,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_wcprice
ti_stochrsi_start,src/lib.rs,291,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_atr_stream_run
ti_sum_start,src/lib.rs,296,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_di_start
ti_tema_start,src/lib.rs,301,(options: *const libc::c_double) -> libc::c_int,yes,,,tc_result_free
ti_trima_start,src/lib.rs,307,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_dm_start
ti_trix_start,src/lib.rs,312,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_avgprice
ti_typprice_start,src/lib.rs,318,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_acos_start
ti_ultosc_start,src/lib.rs,324,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_exp_start
ti_var_start,src/lib.rs,329,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_atr_start
ti_version,src/lib.rs,334,() -> *const libc::c_char,yes,,,ti_version
ti_vhf_start,src/lib.rs,339,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_ln_start
ti_vidya_start,src/lib.rs,344,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_stream_run
ti_volatility_start,src/lib.rs,350,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_edecay_start
ti_vosc_start,src/lib.rs,355,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_ad
ti_vwma_start,src/lib.rs,360,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_typprice_start
ti_wad_start,src/lib.rs,366,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_sma_stream_free
ti_wcprice_start,src/lib.rs,372,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_abs_start
ti_wilders_start,src/lib.rs,378,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_stream_free
ti_willr_start,src/lib.rs,384,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_dpo_start
ti_wma_start,src/lib.rs,389,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_bop
ti_zlema_start,src/lib.rs,394,(options: *const libc::c_double) -> libc::c_int,yes,,,ti_decay
