INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1049 inline 8-bit counters): 1049 [0x55f6c0e89230, 0x55f6c0e89649), 
INFO: Loaded 1 PC tables (1049 PCs): 1049 [0x55f6c0e89650,0x55f6c0e8d7e0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3971480.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3971606== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3971665== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3971673== ERROR: libFuzzer: fuzz target exited
... [330812 lines elided] ...
#165410: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165409 time: 3597s job: 165410 dft_time: 0
==2723521== ERROR: libFuzzer: fuzz target exited
#165411: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165410 time: 3597s job: 165411 dft_time: 0
==2723543== ERROR: libFuzzer: fuzz target exited
#165412: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165411 time: 3597s job: 165412 dft_time: 0
==2723560== ERROR: libFuzzer: fuzz target exited
#165413: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165412 time: 3597s job: 165413 dft_time: 0
==2723576== ERROR: libFuzzer: fuzz target exited
#165414: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165413 time: 3597s job: 165414 dft_time: 0
==2723594== ERROR: libFuzzer: fuzz target exited
#165415: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165414 time: 3597s job: 165415 dft_time: 0
==2723616== ERROR: libFuzzer: fuzz target exited
#165416: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165415 time: 3598s job: 165416 dft_time: 0
==2723636== ERROR: libFuzzer: fuzz target exited
#165417: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165416 time: 3598s job: 165417 dft_time: 0
==2723651== ERROR: libFuzzer: fuzz target exited
#165418: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165417 time: 3598s job: 165418 dft_time: 0
==2723673== ERROR: libFuzzer: fuzz target exited
#165419: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165418 time: 3598s job: 165419 dft_time: 0
==2723692== ERROR: libFuzzer: fuzz target exited
#165420: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165419 time: 3598s job: 165420 dft_time: 0
==2723707== ERROR: libFuzzer: fuzz target exited
#165421: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165420 time: 3598s job: 165421 dft_time: 0
==2723722== ERROR: libFuzzer: fuzz target exited
#165422: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165421 time: 3598s job: 165422 dft_time: 0
==2723743== ERROR: libFuzzer: fuzz target exited
#165423: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165422 time: 3598s job: 165423 dft_time: 0
==2723757== ERROR: libFuzzer: fuzz target exited
#165424: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165423 time: 3598s job: 165424 dft_time: 0
==2723775== ERROR: libFuzzer: fuzz target exited
#165425: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165424 time: 3598s job: 165425 dft_time: 0
==2723790== ERROR: libFuzzer: fuzz target exited
#165426: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165425 time: 3598s job: 165426 dft_time: 0
==2723807== ERROR: libFuzzer: fuzz target exited
#165427: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165426 time: 3598s job: 165427 dft_time: 0
==2723824== ERROR: libFuzzer: fuzz target exited
#165428: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165427 time: 3598s job: 165428 dft_time: 0
==2723841== ERROR: libFuzzer: fuzz target exited
#165429: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165428 time: 3598s job: 165429 dft_time: 0
==2723861== ERROR: libFuzzer: fuzz target exited
#165430: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165429 time: 3598s job: 165430 dft_time: 0
==2723873== ERROR: libFuzzer: fuzz target exited
#165431: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165430 time: 3598s job: 165431 dft_time: 0
==2723895== ERROR: libFuzzer: fuzz target exited
#165432: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/165431 time: 3598s job: 165432 dft_time: 0
