entry	mode	inputs	rc	export_bytes
BZ2_bzBuffToBuffCompress	gated	649	0	1069669
BZ2_bzBuffToBuffCompress	nogate	649	0	1069668
BZ2_bzBuffToBuffCompress	rust-only	649	0	1069669
BZ2_bzBuffToBuffDecompress	gated	439	0	1034306
BZ2_bzBuffToBuffDecompress	nogate	439	0	1034304
BZ2_bzBuffToBuffDecompress	rust-only	439	0	1034306
BZ2_hbAssignCodes	gated	46	0	1016290
BZ2_hbAssignCodes	nogate	46	0	1016300
BZ2_hbAssignCodes	rust-only	46	0	1016301
BZ2_hbCreateDecodeTables	gated	58	0	1017695
BZ2_hbCreateDecodeTables	nogate	58	0	1017695
BZ2_hbCreateDecodeTables	rust-only	58	0	1017695
BZ2_hbMakeCodeLengths	gated	8	0	1016547
BZ2_hbMakeCodeLengths	nogate	8	0	1016530
BZ2_hbMakeCodeLengths	rust-only	8	0	1016544
BZ2_indexIntoF	gated	5	0	1015458
BZ2_indexIntoF	nogate	5	0	1015459
BZ2_indexIntoF	rust-only	5	0	1015443
fallbackQSort3	gated	21	0	1015990
fallbackQSort3	nogate	21	0	1015991
fallbackQSort3	rust-only	21	0	1015975
fallbackSimpleSort	gated	16	0	1016354
fallbackSimpleSort	nogate	16	0	1016355
fallbackSimpleSort	rust-only	16	0	1016339
fallbackSort	gated	320	0	1019784
fallbackSort	nogate	320	0	1019782
fallbackSort	rust-only	320	0	1019784
mmed3	gated	4	0	1014027
mmed3	nogate	4	0	1014030
mmed3	rust-only	4	0	1014012
