entry	minute	inputs	rc	export_bytes
BZ2_bzBuffToBuffCompress	1	129	0	1060934
BZ2_bzBuffToBuffCompress	5	489	0	1065774
BZ2_bzBuffToBuffCompress	10	591	0	1066201
BZ2_bzBuffToBuffCompress	30	619	0	1066934
BZ2_bzBuffToBuffCompress	60	647	0	1067744
BZ2_bzBuffToBuffDecompress	1	202	0	1031717
BZ2_bzBuffToBuffDecompress	5	309	0	1032040
BZ2_bzBuffToBuffDecompress	10	360	0	1032155
BZ2_bzBuffToBuffDecompress	30	398	0	1032339
BZ2_bzBuffToBuffDecompress	60	438	0	1032363
BZ2_hbAssignCodes	1	46	0	1014412
BZ2_hbAssignCodes	5	46	0	1014412
BZ2_hbAssignCodes	10	46	0	1014412
BZ2_hbAssignCodes	30	46	0	1014412
BZ2_hbAssignCodes	60	46	0	1014412
BZ2_hbCreateDecodeTables	1	58	0	1015804
BZ2_hbCreateDecodeTables	5	58	0	1015804
BZ2_hbCreateDecodeTables	10	58	0	1015804
BZ2_hbCreateDecodeTables	30	58	0	1015804
BZ2_hbCreateDecodeTables	60	58	0	1015804
BZ2_hbMakeCodeLengths	1	7	0	1014669
BZ2_hbMakeCodeLengths	5	7	0	1014669
BZ2_hbMakeCodeLengths	10	7	0	1014669
BZ2_hbMakeCodeLengths	30	8	0	1014669
BZ2_hbMakeCodeLengths	60	8	0	1014669
BZ2_indexIntoF	1	5	0	1013595
BZ2_indexIntoF	5	5	0	1013595
BZ2_indexIntoF	10	5	0	1013595
BZ2_indexIntoF	30	5	0	1013595
BZ2_indexIntoF	60	5	0	1013595
fallbackQSort3	1	21	0	1014119
fallbackQSort3	5	21	0	1014119
fallbackQSort3	10	21	0	1014119
fallbackQSort3	30	21	0	1014119
fallbackQSort3	60	21	0	1014119
fallbackSimpleSort	1	16	0	1014475
fallbackSimpleSort	5	16	0	1014475
fallbackSimpleSort	10	16	0	1014475
fallbackSimpleSort	30	16	0	1014475
fallbackSimpleSort	60	16	0	1014475
fallbackSort	1	267	0	1017283
fallbackSort	5	308	0	1017632
fallbackSort	10	318	0	1017725
fallbackSort	30	320	0	1017870
fallbackSort	60	320	0	1017870
mmed3	1	4	0	1012181
mmed3	5	4	0	1012181
mmed3	10	4	0	1012181
mmed3	30	4	0	1012181
mmed3	60	4	0	1012181
