INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1071 inline 8-bit counters): 1071 [0x56395e4790f0, 0x56395e47951f), 
INFO: Loaded 1 PC tables (1071 PCs): 1071 [0x56395e479520,0x56395e47d810), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork2769864.dir
#267: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
  NEW_FUNC: 0x56395e3c50f0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_bz_laertes/harnesses/default_bzalloc.bin+0x1200f0) (BuildId: eef54f7e666c837dc249959d126d1055e6acee7c)
  NEW_FUNC: 0x56395e3c6c20  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_bz_laertes/harnesses/default_bzalloc.bin+0x121c20) (BuildId: eef54f7e666c837dc249959d126d1055e6acee7c)
  NEW_FUNC: 0x56395e3c8b20  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_bz_laertes/harnesses/default_bzalloc.bin+0x123b20) (BuildId: eef54f7e666c837dc249959d126d1055e6acee7c)
  NEW_FUNC: 0x56395e3c8e10  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_bz_laertes/harnesses/default_bzalloc.bin+0x123e10) (BuildId: eef54f7e666c837dc249959d126d1055e6acee7c)
  NEW_FUNC: 0x56395e3c9370  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_bz_laertes/harnesses/default_bzalloc.bin+0x124370) (BuildId: eef54f7e666c837dc249959d126d1055e6acee7c)
... [287271 lines elided] ...
#21353993: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143629 time: 3597s job: 143630 dft_time: 0
==1317909== ERROR: libFuzzer: deadly signal
#21354011: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143630 time: 3597s job: 143631 dft_time: 0
==1317923== ERROR: libFuzzer: deadly signal
#21354035: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143631 time: 3597s job: 143632 dft_time: 0
