INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1805 inline 8-bit counters): 1805 [0x55f1c26eeed0, 0x55f1c26ef5dd), 
INFO: Loaded 1 PC tables (1805 PCs): 1805 [0x55f1c26ef5e0,0x55f1c26f66b0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork971776.dir
#906: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
  NEW_FUNC: 0x55f1c262dfc0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_c2rust/harnesses/lodepng_huffman_code_lengths.bin+0x128fc0) (BuildId: 77ef4bd1c528924b2db4c0cfd40ba2d33ae6bc86)
  NEW_FUNC: 0x55f1c262f720  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_c2rust/harnesses/lodepng_huffman_code_lengths.bin+0x12a720) (BuildId: 77ef4bd1c528924b2db4c0cfd40ba2d33ae6bc86)
  NEW_FUNC: 0x55f1c2632ba0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_c2rust/harnesses/lodepng_huffman_code_lengths.bin+0x12dba0) (BuildId: 77ef4bd1c528924b2db4c0cfd40ba2d33ae6bc86)
  NEW_FUNC: 0x55f1c2632ed0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_c2rust/harnesses/lodepng_huffman_code_lengths.bin+0x12ded0) (BuildId: 77ef4bd1c528924b2db4c0cfd40ba2d33ae6bc86)
  NEW_FUNC: 0x55f1c2633470  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_c2rust/harnesses/lodepng_huffman_code_lengths.bin+0x12e470) (BuildId: 77ef4bd1c528924b2db4c0cfd40ba2d33ae6bc86)
... [107713 lines elided] ...
#614511: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53849 time: 3593s job: 53850 dft_time: 0
==640178== ERROR: libFuzzer: deadly signal
#614522: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53850 time: 3593s job: 53851 dft_time: 0
==640251== ERROR: libFuzzer: deadly signal
#614528: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53851 time: 3593s job: 53852 dft_time: 0
==640341== ERROR: libFuzzer: deadly signal
#614541: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53852 time: 3593s job: 53853 dft_time: 0
==640409== ERROR: libFuzzer: deadly signal
#614547: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53853 time: 3594s job: 53854 dft_time: 0
==640476== ERROR: libFuzzer: deadly signal
#614553: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53854 time: 3594s job: 53855 dft_time: 0
==640548== ERROR: libFuzzer: deadly signal
#614562: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53855 time: 3594s job: 53856 dft_time: 0
==640614== ERROR: libFuzzer: deadly signal
#614568: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53856 time: 3594s job: 53857 dft_time: 0
==640680== ERROR: libFuzzer: deadly signal
