INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1089 inline 8-bit counters): 1089 [0x55cc107debb0, 0x55cc107deff1), 
INFO: Loaded 1 PC tables (1089 PCs): 1089 [0x55cc107deff8,0x55cc107e3408), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545202.dir
#807: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
  NEW_FUNC: 0x55cc10729df0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/addColorBits.bin+0x120df0) (BuildId: e3024e7358385ff7768f0ad133cc786f176d2fd8)
  NEW_FUNC: 0x55cc1072b920  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/addColorBits.bin+0x122920) (BuildId: e3024e7358385ff7768f0ad133cc786f176d2fd8)
  NEW_FUNC: 0x55cc1072dfd0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/addColorBits.bin+0x124fd0) (BuildId: e3024e7358385ff7768f0ad133cc786f176d2fd8)
  NEW_FUNC: 0x55cc1072e2c0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/addColorBits.bin+0x1252c0) (BuildId: e3024e7358385ff7768f0ad133cc786f176d2fd8)
  NEW_FUNC: 0x55cc1072e820  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/addColorBits.bin+0x125820) (BuildId: e3024e7358385ff7768f0ad133cc786f176d2fd8)
... [115951 lines elided] ...
#5085462: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57969 time: 3593s job: 57970 dft_time: 0
==215202== ERROR: libFuzzer: deadly signal
#5085532: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57970 time: 3593s job: 57971 dft_time: 0
==215254== ERROR: libFuzzer: deadly signal
#5085537: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57971 time: 3593s job: 57972 dft_time: 0
==215324== ERROR: libFuzzer: deadly signal
#5085542: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57972 time: 3593s job: 57973 dft_time: 0
==215385== ERROR: libFuzzer: deadly signal
#5085612: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57973 time: 3593s job: 57974 dft_time: 0
==215468== ERROR: libFuzzer: deadly signal
#5085617: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57974 time: 3593s job: 57975 dft_time: 0
==215525== ERROR: libFuzzer: deadly signal
#5085666: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57975 time: 3593s job: 57976 dft_time: 0
==215621== ERROR: libFuzzer: deadly signal
#5085736: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57976 time: 3593s job: 57977 dft_time: 0
==215679== ERROR: libFuzzer: deadly signal
#5085741: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57977 time: 3593s job: 57978 dft_time: 0
==215722== ERROR: libFuzzer: deadly signal
#5085746: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57978 time: 3594s job: 57979 dft_time: 0
==215782== ERROR: libFuzzer: deadly signal
#5085816: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57979 time: 3594s job: 57980 dft_time: 0
==215833== ERROR: libFuzzer: deadly signal
#5085821: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57980 time: 3594s job: 57981 dft_time: 0
==215907== ERROR: libFuzzer: deadly signal
#5085870: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57981 time: 3594s job: 57982 dft_time: 0
==215979== ERROR: libFuzzer: deadly signal
#5085885: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57982 time: 3594s job: 57983 dft_time: 0
==216047== ERROR: libFuzzer: deadly signal
#5085956: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57983 time: 3594s job: 57984 dft_time: 0
==216101== ERROR: libFuzzer: deadly signal
#5085961: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57984 time: 3594s job: 57985 dft_time: 0
==216188== ERROR: libFuzzer: deadly signal
#5086010: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57985 time: 3594s job: 57986 dft_time: 0
==216255== ERROR: libFuzzer: deadly signal
#5086015: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57986 time: 3594s job: 57987 dft_time: 0
==216310== ERROR: libFuzzer: deadly signal
#5086085: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57987 time: 3594s job: 57988 dft_time: 0
==216369== ERROR: libFuzzer: deadly signal
#5086090: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57988 time: 3594s job: 57989 dft_time: 0
==216435== ERROR: libFuzzer: deadly signal
#5086433: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57989 time: 3594s job: 57990 dft_time: 0
==216492== ERROR: libFuzzer: deadly signal
#5086438: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/57990 time: 3594s job: 57991 dft_time: 0
==216552== ERROR: libFuzzer: deadly signal
