INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1038 inline 8-bit counters): 1038 [0x56357849a4f0, 0x56357849a8fe), 
INFO: Loaded 1 PC tables (1038 PCs): 1038 [0x56357849a900,0x56357849e9e0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545329.dir
#234: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
  NEW_FUNC: 0x5635783e6ab0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/lodepng_memset.bin+0x11fab0) (BuildId: 9676d81e44df75dd818d2531ee00bedf74a01314)
  NEW_FUNC: 0x5635783e85e0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/lodepng_memset.bin+0x1215e0) (BuildId: 9676d81e44df75dd818d2531ee00bedf74a01314)
  NEW_FUNC: 0x5635783ea570  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/lodepng_memset.bin+0x123570) (BuildId: 9676d81e44df75dd818d2531ee00bedf74a01314)
  NEW_FUNC: 0x5635783ea860  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/lodepng_memset.bin+0x123860) (BuildId: 9676d81e44df75dd818d2531ee00bedf74a01314)
  NEW_FUNC: 0x5635783eadc0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_lodepng_crown/harnesses/lodepng_memset.bin+0x123dc0) (BuildId: 9676d81e44df75dd818d2531ee00bedf74a01314)
... [121153 lines elided] ...
#3331040: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60570 time: 3594s job: 60571 dft_time: 0
==215793== ERROR: libFuzzer: deadly signal
#3331044: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60571 time: 3594s job: 60572 dft_time: 0
==215857== ERROR: libFuzzer: deadly signal
#3331062: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60572 time: 3594s job: 60573 dft_time: 0
==215926== ERROR: libFuzzer: deadly signal
#3331067: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60573 time: 3594s job: 60574 dft_time: 0
==215998== ERROR: libFuzzer: deadly signal
#3331298: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60574 time: 3594s job: 60575 dft_time: 0
==216068== ERROR: libFuzzer: deadly signal
#3331302: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60575 time: 3594s job: 60576 dft_time: 0
==216148== ERROR: libFuzzer: deadly signal
#3331306: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60576 time: 3594s job: 60577 dft_time: 0
==216212== ERROR: libFuzzer: deadly signal
#3331324: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60577 time: 3594s job: 60578 dft_time: 0
==216264== ERROR: libFuzzer: deadly signal
#3331328: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60578 time: 3594s job: 60579 dft_time: 0
==216317== ERROR: libFuzzer: deadly signal
#3331546: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60579 time: 3594s job: 60580 dft_time: 0
==216370== ERROR: libFuzzer: deadly signal
#3331764: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60580 time: 3594s job: 60581 dft_time: 0
==216464== ERROR: libFuzzer: deadly signal
#3331995: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60581 time: 3594s job: 60582 dft_time: 0
==216515== ERROR: libFuzzer: deadly signal
