INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1042 inline 8-bit counters): 1042 [0x563e7bbf4870, 0x563e7bbf4c82), 
INFO: Loaded 1 PC tables (1042 PCs): 1042 [0x563e7bbf4c88,0x563e7bbf8da8), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork891870.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==892178== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==892314== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==892383== ERROR: libFuzzer: fuzz target exited
... [144178 lines elided] ...
#72093: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72092 time: 3595s job: 72093 dft_time: 0
==3304781== ERROR: libFuzzer: fuzz target exited
#72094: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72093 time: 3595s job: 72094 dft_time: 0
==3304821== ERROR: libFuzzer: fuzz target exited
#72095: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72094 time: 3595s job: 72095 dft_time: 0
==3304849== ERROR: libFuzzer: fuzz target exited
#72096: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72095 time: 3595s job: 72096 dft_time: 0
==3304880== ERROR: libFuzzer: fuzz target exited
#72097: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72096 time: 3595s job: 72097 dft_time: 0
==3304909== ERROR: libFuzzer: fuzz target exited
#72098: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72097 time: 3595s job: 72098 dft_time: 0
==3304941== ERROR: libFuzzer: fuzz target exited
#72099: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72098 time: 3595s job: 72099 dft_time: 0
==3304969== ERROR: libFuzzer: fuzz target exited
#72100: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72099 time: 3595s job: 72100 dft_time: 0
==3304999== ERROR: libFuzzer: fuzz target exited
#72101: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72100 time: 3595s job: 72101 dft_time: 0
==3305030== ERROR: libFuzzer: fuzz target exited
#72102: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72101 time: 3595s job: 72102 dft_time: 0
==3305060== ERROR: libFuzzer: fuzz target exited
#72103: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72102 time: 3595s job: 72103 dft_time: 0
==3305097== ERROR: libFuzzer: fuzz target exited
#72104: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72103 time: 3595s job: 72104 dft_time: 0
==3305150== ERROR: libFuzzer: fuzz target exited
#72105: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72104 time: 3595s job: 72105 dft_time: 0
==3305193== ERROR: libFuzzer: fuzz target exited
#72106: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72105 time: 3595s job: 72106 dft_time: 0
==3305225== ERROR: libFuzzer: fuzz target exited
#72107: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72106 time: 3595s job: 72107 dft_time: 0
==3305258== ERROR: libFuzzer: fuzz target exited
