INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (972 inline 8-bit counters): 972 [0x5627c2e72710, 0x5627c2e72adc), 
INFO: Loaded 1 PC tables (972 PCs): 972 [0x5627c2e72ae0,0x5627c2e767a0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork891872.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==892107== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==892328== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==892401== ERROR: libFuzzer: fuzz target exited
... [144036 lines elided] ...
#72022: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72021 time: 3595s job: 72022 dft_time: 0
==3304731== ERROR: libFuzzer: fuzz target exited
#72023: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72022 time: 3595s job: 72023 dft_time: 0
==3304765== ERROR: libFuzzer: fuzz target exited
#72024: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72023 time: 3595s job: 72024 dft_time: 0
==3304794== ERROR: libFuzzer: fuzz target exited
#72025: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72024 time: 3595s job: 72025 dft_time: 0
==3304827== ERROR: libFuzzer: fuzz target exited
#72026: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72025 time: 3595s job: 72026 dft_time: 0
==3304859== ERROR: libFuzzer: fuzz target exited
#72027: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72026 time: 3595s job: 72027 dft_time: 0
==3304887== ERROR: libFuzzer: fuzz target exited
#72028: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72027 time: 3595s job: 72028 dft_time: 0
==3304922== ERROR: libFuzzer: fuzz target exited
#72029: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72028 time: 3595s job: 72029 dft_time: 0
==3304954== ERROR: libFuzzer: fuzz target exited
