INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1042 inline 8-bit counters): 1042 [0x557d21e6b8b0, 0x557d21e6bcc2), 
INFO: Loaded 1 PC tables (1042 PCs): 1042 [0x557d21e6bcc8,0x557d21e6fde8), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork891883.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==892112== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==892269== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==892365== ERROR: libFuzzer: fuzz target exited
... [143938 lines elided] ...
#71973: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71972 time: 3595s job: 71973 dft_time: 0
==3304761== ERROR: libFuzzer: fuzz target exited
#71974: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71973 time: 3595s job: 71974 dft_time: 0
==3304792== ERROR: libFuzzer: fuzz target exited
#71975: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71974 time: 3595s job: 71975 dft_time: 0
==3304823== ERROR: libFuzzer: fuzz target exited
#71976: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71975 time: 3595s job: 71976 dft_time: 0
==3304856== ERROR: libFuzzer: fuzz target exited
#71977: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71976 time: 3595s job: 71977 dft_time: 0
==3304889== ERROR: libFuzzer: fuzz target exited
#71978: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71977 time: 3595s job: 71978 dft_time: 0
==3304923== ERROR: libFuzzer: fuzz target exited
#71979: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71978 time: 3595s job: 71979 dft_time: 0
==3304960== ERROR: libFuzzer: fuzz target exited
#71980: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71979 time: 3595s job: 71980 dft_time: 0
==3304987== ERROR: libFuzzer: fuzz target exited
#71981: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71980 time: 3595s job: 71981 dft_time: 0
==3305023== ERROR: libFuzzer: fuzz target exited
#71982: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71981 time: 3595s job: 71982 dft_time: 0
==3305054== ERROR: libFuzzer: fuzz target exited
#71983: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71982 time: 3595s job: 71983 dft_time: 0
==3305089== ERROR: libFuzzer: fuzz target exited
#71984: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71983 time: 3595s job: 71984 dft_time: 0
==3305137== ERROR: libFuzzer: fuzz target exited
#71985: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71984 time: 3595s job: 71985 dft_time: 0
==3305190== ERROR: libFuzzer: fuzz target exited
#71986: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71985 time: 3595s job: 71986 dft_time: 0
==3305221== ERROR: libFuzzer: fuzz target exited
#71987: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71986 time: 3595s job: 71987 dft_time: 0
==3305257== ERROR: libFuzzer: fuzz target exited
#71988: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71987 time: 3596s job: 71988 dft_time: 0
==3305287== ERROR: libFuzzer: fuzz target exited
#71989: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71988 time: 3596s job: 71989 dft_time: 0
==3305316== ERROR: libFuzzer: fuzz target exited
#71990: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71989 time: 3596s job: 71990 dft_time: 0
==3305349== ERROR: libFuzzer: fuzz target exited
#71991: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71990 time: 3596s job: 71991 dft_time: 0
==3305376== ERROR: libFuzzer: fuzz target exited
#71992: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71991 time: 3596s job: 71992 dft_time: 0
==3305408== ERROR: libFuzzer: fuzz target exited
#71993: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71992 time: 3596s job: 71993 dft_time: 0
==3305447== ERROR: libFuzzer: fuzz target exited
#71994: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71993 time: 3596s job: 71994 dft_time: 0
==3305477== ERROR: libFuzzer: fuzz target exited
#71995: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71994 time: 3596s job: 71995 dft_time: 0
==3305519== ERROR: libFuzzer: fuzz target exited
#71996: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71995 time: 3596s job: 71996 dft_time: 0
==3305553== ERROR: libFuzzer: fuzz target exited
#71997: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71996 time: 3596s job: 71997 dft_time: 0
==3305598== ERROR: libFuzzer: fuzz target exited
#71998: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71997 time: 3596s job: 71998 dft_time: 0
==3305638== ERROR: libFuzzer: fuzz target exited
#71999: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71998 time: 3596s job: 71999 dft_time: 0
==3305668== ERROR: libFuzzer: fuzz target exited
#72000: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71999 time: 3596s job: 72000 dft_time: 0
==3305699== ERROR: libFuzzer: fuzz target exited
#72001: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72000 time: 3596s job: 72001 dft_time: 0
==3305739== ERROR: libFuzzer: fuzz target exited
#72002: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72001 time: 3596s job: 72002 dft_time: 0
==3305767== ERROR: libFuzzer: fuzz target exited
#72003: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72002 time: 3596s job: 72003 dft_time: 0
==3305804== ERROR: libFuzzer: fuzz target exited
#72004: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72003 time: 3596s job: 72004 dft_time: 0
==3305827== ERROR: libFuzzer: fuzz target exited
#72005: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72004 time: 3596s job: 72005 dft_time: 0
==3305855== ERROR: libFuzzer: fuzz target exited
#72006: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72005 time: 3596s job: 72006 dft_time: 0
==3305893== ERROR: libFuzzer: fuzz target exited
