INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1042 inline 8-bit counters): 1042 [0x55a92151e870, 0x55a92151ec82), 
INFO: Loaded 1 PC tables (1042 PCs): 1042 [0x55a92151ec88,0x55a921522da8), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564271.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3564492== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3564792== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3565060== ERROR: libFuzzer: fuzz target exited
... [85858 lines elided] ...
#42933: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42932 time: 3591s job: 42933 dft_time: 0
==3677778== ERROR: libFuzzer: fuzz target exited
#42934: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42933 time: 3591s job: 42934 dft_time: 0
==3677865== ERROR: libFuzzer: fuzz target exited
#42935: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42934 time: 3591s job: 42935 dft_time: 0
==3677975== ERROR: libFuzzer: fuzz target exited
#42936: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42935 time: 3592s job: 42936 dft_time: 0
==3678087== ERROR: libFuzzer: fuzz target exited
#42937: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42936 time: 3592s job: 42937 dft_time: 0
==3678154== ERROR: libFuzzer: fuzz target exited
#42938: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42937 time: 3592s job: 42938 dft_time: 0
==3678246== ERROR: libFuzzer: fuzz target exited
#42939: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42938 time: 3592s job: 42939 dft_time: 0
==3678339== ERROR: libFuzzer: fuzz target exited
#42940: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42939 time: 3592s job: 42940 dft_time: 0
==3678444== ERROR: libFuzzer: fuzz target exited
#42941: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42940 time: 3592s job: 42941 dft_time: 0
==3678524== ERROR: libFuzzer: fuzz target exited
#42942: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42941 time: 3592s job: 42942 dft_time: 0
==3678647== ERROR: libFuzzer: fuzz target exited
#42943: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42942 time: 3592s job: 42943 dft_time: 0
==3678751== ERROR: libFuzzer: fuzz target exited
#42944: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42943 time: 3592s job: 42944 dft_time: 0
==3678854== ERROR: libFuzzer: fuzz target exited
#42945: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42944 time: 3592s job: 42945 dft_time: 0
==3678953== ERROR: libFuzzer: fuzz target exited
#42946: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42945 time: 3592s job: 42946 dft_time: 0
==3679019== ERROR: libFuzzer: fuzz target exited
#42947: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42946 time: 3592s job: 42947 dft_time: 0
==3679121== ERROR: libFuzzer: fuzz target exited
#42948: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42947 time: 3593s job: 42948 dft_time: 0
==3679254== ERROR: libFuzzer: fuzz target exited
#42949: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42948 time: 3593s job: 42949 dft_time: 0
==3679326== ERROR: libFuzzer: fuzz target exited
#42950: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42949 time: 3593s job: 42950 dft_time: 0
==3679412== ERROR: libFuzzer: fuzz target exited
#42951: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42950 time: 3593s job: 42951 dft_time: 0
==3679516== ERROR: libFuzzer: fuzz target exited
#42952: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42951 time: 3593s job: 42952 dft_time: 0
==3679585== ERROR: libFuzzer: fuzz target exited
#42953: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42952 time: 3593s job: 42953 dft_time: 0
==3679696== ERROR: libFuzzer: fuzz target exited
#42954: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42953 time: 3593s job: 42954 dft_time: 0
==3679834== ERROR: libFuzzer: fuzz target exited
#42955: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42954 time: 3593s job: 42955 dft_time: 0
==3679942== ERROR: libFuzzer: fuzz target exited
#42956: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42955 time: 3593s job: 42956 dft_time: 0
==3680020== ERROR: libFuzzer: fuzz target exited
#42957: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42956 time: 3593s job: 42957 dft_time: 0
==3680114== ERROR: libFuzzer: fuzz target exited
#42958: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42957 time: 3593s job: 42958 dft_time: 0
==3680207== ERROR: libFuzzer: fuzz target exited
#42959: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42958 time: 3593s job: 42959 dft_time: 0
==3680282== ERROR: libFuzzer: fuzz target exited
#42960: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42959 time: 3594s job: 42960 dft_time: 0
==3680388== ERROR: libFuzzer: fuzz target exited
#42961: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42960 time: 3594s job: 42961 dft_time: 0
==3680505== ERROR: libFuzzer: fuzz target exited
#42962: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42961 time: 3594s job: 42962 dft_time: 0
==3680603== ERROR: libFuzzer: fuzz target exited
#42963: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42962 time: 3594s job: 42963 dft_time: 0
==3680736== ERROR: libFuzzer: fuzz target exited
#42964: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42963 time: 3594s job: 42964 dft_time: 0
==3680817== ERROR: libFuzzer: fuzz target exited
#42965: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42964 time: 3594s job: 42965 dft_time: 0
==3680936== ERROR: libFuzzer: fuzz target exited
#42966: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42965 time: 3594s job: 42966 dft_time: 0
==3681021== ERROR: libFuzzer: fuzz target exited
#42967: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42966 time: 3594s job: 42967 dft_time: 0
==3681130== ERROR: libFuzzer: fuzz target exited
#42968: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42967 time: 3594s job: 42968 dft_time: 0
==3681211== ERROR: libFuzzer: fuzz target exited
#42969: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42968 time: 3594s job: 42969 dft_time: 0
==3681329== ERROR: libFuzzer: fuzz target exited
#42970: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42969 time: 3594s job: 42970 dft_time: 0
==3681416== ERROR: libFuzzer: fuzz target exited
#42971: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42970 time: 3595s job: 42971 dft_time: 0
==3681478== ERROR: libFuzzer: fuzz target exited
#42972: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42971 time: 3595s job: 42972 dft_time: 0
==3681579== ERROR: libFuzzer: fuzz target exited
#42973: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42972 time: 3595s job: 42973 dft_time: 0
==3681654== ERROR: libFuzzer: fuzz target exited
#42974: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42973 time: 3595s job: 42974 dft_time: 0
==3681719== ERROR: libFuzzer: fuzz target exited
#42975: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42974 time: 3595s job: 42975 dft_time: 0
==3681829== ERROR: libFuzzer: fuzz target exited
#42976: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42975 time: 3595s job: 42976 dft_time: 0
==3681927== ERROR: libFuzzer: fuzz target exited
