INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1295 inline 8-bit counters): 1295 [0x561a3f8954b0, 0x561a3f8959bf), 
INFO: Loaded 1 PC tables (1295 PCs): 1295 [0x561a3f8959c0,0x561a3f89aab0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564287.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3564524== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3564787== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3565098== ERROR: libFuzzer: fuzz target exited
... [85848 lines elided] ...
#42928: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42927 time: 3591s job: 42928 dft_time: 0
==3677705== ERROR: libFuzzer: fuzz target exited
#42929: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42928 time: 3591s job: 42929 dft_time: 0
==3677828== ERROR: libFuzzer: fuzz target exited
#42930: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42929 time: 3591s job: 42930 dft_time: 0
==3677941== ERROR: libFuzzer: fuzz target exited
#42931: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42930 time: 3592s job: 42931 dft_time: 0
==3678119== ERROR: libFuzzer: fuzz target exited
#42932: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42931 time: 3592s job: 42932 dft_time: 0
==3678239== ERROR: libFuzzer: fuzz target exited
#42933: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42932 time: 3592s job: 42933 dft_time: 0
==3678326== ERROR: libFuzzer: fuzz target exited
#42934: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42933 time: 3592s job: 42934 dft_time: 0
==3678383== ERROR: libFuzzer: fuzz target exited
#42935: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42934 time: 3592s job: 42935 dft_time: 0
==3678449== ERROR: libFuzzer: fuzz target exited
#42936: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42935 time: 3592s job: 42936 dft_time: 0
==3678512== ERROR: libFuzzer: fuzz target exited
#42937: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42936 time: 3592s job: 42937 dft_time: 0
==3678612== ERROR: libFuzzer: fuzz target exited
#42938: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42937 time: 3592s job: 42938 dft_time: 0
==3678686== ERROR: libFuzzer: fuzz target exited
#42939: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42938 time: 3592s job: 42939 dft_time: 0
==3678796== ERROR: libFuzzer: fuzz target exited
#42940: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42939 time: 3592s job: 42940 dft_time: 0
==3678914== ERROR: libFuzzer: fuzz target exited
#42941: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42940 time: 3592s job: 42941 dft_time: 0
==3679020== ERROR: libFuzzer: fuzz target exited
#42942: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42941 time: 3592s job: 42942 dft_time: 0
==3679100== ERROR: libFuzzer: fuzz target exited
#42943: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42942 time: 3592s job: 42943 dft_time: 0
==3679187== ERROR: libFuzzer: fuzz target exited
#42944: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42943 time: 3593s job: 42944 dft_time: 0
==3679269== ERROR: libFuzzer: fuzz target exited
#42945: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42944 time: 3593s job: 42945 dft_time: 0
==3679391== ERROR: libFuzzer: fuzz target exited
#42946: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42945 time: 3593s job: 42946 dft_time: 0
==3679457== ERROR: libFuzzer: fuzz target exited
#42947: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42946 time: 3593s job: 42947 dft_time: 0
==3679534== ERROR: libFuzzer: fuzz target exited
#42948: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42947 time: 3593s job: 42948 dft_time: 0
==3679626== ERROR: libFuzzer: fuzz target exited
#42949: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42948 time: 3593s job: 42949 dft_time: 0
==3679711== ERROR: libFuzzer: fuzz target exited
#42950: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42949 time: 3593s job: 42950 dft_time: 0
==3679801== ERROR: libFuzzer: fuzz target exited
#42951: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42950 time: 3593s job: 42951 dft_time: 0
==3679887== ERROR: libFuzzer: fuzz target exited
#42952: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42951 time: 3593s job: 42952 dft_time: 0
==3679985== ERROR: libFuzzer: fuzz target exited
#42953: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42952 time: 3593s job: 42953 dft_time: 0
==3680075== ERROR: libFuzzer: fuzz target exited
