INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1215 inline 8-bit counters): 1215 [0x559ce8a8adb0, 0x559ce8a8b26f), 
INFO: Loaded 1 PC tables (1215 PCs): 1215 [0x559ce8a8b270,0x559ce8a8fe60), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564288.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3564570== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3564907== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3565102== ERROR: libFuzzer: fuzz target exited
... [85898 lines elided] ...
#42953: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42952 time: 3591s job: 42953 dft_time: 0
==3677280== ERROR: libFuzzer: fuzz target exited
#42954: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42953 time: 3591s job: 42954 dft_time: 0
==3677400== ERROR: libFuzzer: fuzz target exited
#42955: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42954 time: 3591s job: 42955 dft_time: 0
==3677533== ERROR: libFuzzer: fuzz target exited
#42956: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42955 time: 3591s job: 42956 dft_time: 0
==3677621== ERROR: libFuzzer: fuzz target exited
#42957: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42956 time: 3591s job: 42957 dft_time: 0
==3677751== ERROR: libFuzzer: fuzz target exited
#42958: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42957 time: 3591s job: 42958 dft_time: 0
==3677849== ERROR: libFuzzer: fuzz target exited
#42959: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42958 time: 3591s job: 42959 dft_time: 0
==3677927== ERROR: libFuzzer: fuzz target exited
#42960: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42959 time: 3592s job: 42960 dft_time: 0
==3677994== ERROR: libFuzzer: fuzz target exited
#42961: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42960 time: 3592s job: 42961 dft_time: 0
==3678152== ERROR: libFuzzer: fuzz target exited
#42962: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42961 time: 3592s job: 42962 dft_time: 0
==3678268== ERROR: libFuzzer: fuzz target exited
#42963: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42962 time: 3592s job: 42963 dft_time: 0
==3678371== ERROR: libFuzzer: fuzz target exited
#42964: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42963 time: 3592s job: 42964 dft_time: 0
==3678468== ERROR: libFuzzer: fuzz target exited
#42965: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42964 time: 3592s job: 42965 dft_time: 0
==3678557== ERROR: libFuzzer: fuzz target exited
#42966: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42965 time: 3592s job: 42966 dft_time: 0
==3678677== ERROR: libFuzzer: fuzz target exited
#42967: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42966 time: 3592s job: 42967 dft_time: 0
==3678754== ERROR: libFuzzer: fuzz target exited
#42968: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42967 time: 3592s job: 42968 dft_time: 0
==3678819== ERROR: libFuzzer: fuzz target exited
#42969: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42968 time: 3592s job: 42969 dft_time: 0
==3678881== ERROR: libFuzzer: fuzz target exited
#42970: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42969 time: 3592s job: 42970 dft_time: 0
==3678992== ERROR: libFuzzer: fuzz target exited
#42971: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42970 time: 3592s job: 42971 dft_time: 0
==3679109== ERROR: libFuzzer: fuzz target exited
#42972: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42971 time: 3593s job: 42972 dft_time: 0
==3679206== ERROR: libFuzzer: fuzz target exited
#42973: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42972 time: 3593s job: 42973 dft_time: 0
==3679325== ERROR: libFuzzer: fuzz target exited
#42974: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42973 time: 3593s job: 42974 dft_time: 0
==3679421== ERROR: libFuzzer: fuzz target exited
#42975: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42974 time: 3593s job: 42975 dft_time: 0
==3679491== ERROR: libFuzzer: fuzz target exited
#42976: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42975 time: 3593s job: 42976 dft_time: 0
==3679591== ERROR: libFuzzer: fuzz target exited
#42977: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42976 time: 3593s job: 42977 dft_time: 0
==3679708== ERROR: libFuzzer: fuzz target exited
#42978: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42977 time: 3593s job: 42978 dft_time: 0
==3679868== ERROR: libFuzzer: fuzz target exited
#42979: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42978 time: 3593s job: 42979 dft_time: 0
==3679970== ERROR: libFuzzer: fuzz target exited
#42980: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42979 time: 3593s job: 42980 dft_time: 0
==3680104== ERROR: libFuzzer: fuzz target exited
#42981: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42980 time: 3593s job: 42981 dft_time: 0
==3680204== ERROR: libFuzzer: fuzz target exited
#42982: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42981 time: 3593s job: 42982 dft_time: 0
==3680321== ERROR: libFuzzer: fuzz target exited
#42983: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42982 time: 3594s job: 42983 dft_time: 0
==3680394== ERROR: libFuzzer: fuzz target exited
#42984: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42983 time: 3594s job: 42984 dft_time: 0
==3680502== ERROR: libFuzzer: fuzz target exited
