INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1300 inline 8-bit counters): 1300 [0x5621930b2630, 0x5621930b2b44), 
INFO: Loaded 1 PC tables (1300 PCs): 1300 [0x5621930b2b48,0x5621930b7c88), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564289.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3564549== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3564811== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3564986== ERROR: libFuzzer: fuzz target exited
... [85934 lines elided] ...
#42971: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42970 time: 3591s job: 42971 dft_time: 0
==3677595== ERROR: libFuzzer: fuzz target exited
#42972: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42971 time: 3591s job: 42972 dft_time: 0
==3677688== ERROR: libFuzzer: fuzz target exited
#42973: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42972 time: 3591s job: 42973 dft_time: 0
==3677798== ERROR: libFuzzer: fuzz target exited
#42974: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42973 time: 3591s job: 42974 dft_time: 0
==3677895== ERROR: libFuzzer: fuzz target exited
#42975: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42974 time: 3592s job: 42975 dft_time: 0
==3678026== ERROR: libFuzzer: fuzz target exited
#42976: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42975 time: 3592s job: 42976 dft_time: 0
==3678157== ERROR: libFuzzer: fuzz target exited
#42977: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42976 time: 3592s job: 42977 dft_time: 0
==3678224== ERROR: libFuzzer: fuzz target exited
#42978: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42977 time: 3592s job: 42978 dft_time: 0
==3678316== ERROR: libFuzzer: fuzz target exited
#42979: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42978 time: 3592s job: 42979 dft_time: 0
==3678404== ERROR: libFuzzer: fuzz target exited
#42980: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42979 time: 3592s job: 42980 dft_time: 0
==3678528== ERROR: libFuzzer: fuzz target exited
#42981: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42980 time: 3592s job: 42981 dft_time: 0
==3678638== ERROR: libFuzzer: fuzz target exited
#42982: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42981 time: 3592s job: 42982 dft_time: 0
==3678742== ERROR: libFuzzer: fuzz target exited
#42983: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42982 time: 3592s job: 42983 dft_time: 0
==3678845== ERROR: libFuzzer: fuzz target exited
#42984: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42983 time: 3592s job: 42984 dft_time: 0
==3678929== ERROR: libFuzzer: fuzz target exited
#42985: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42984 time: 3592s job: 42985 dft_time: 0
==3679022== ERROR: libFuzzer: fuzz target exited
#42986: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42985 time: 3592s job: 42986 dft_time: 0
==3679105== ERROR: libFuzzer: fuzz target exited
#42987: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42986 time: 3593s job: 42987 dft_time: 0
==3679237== ERROR: libFuzzer: fuzz target exited
#42988: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42987 time: 3593s job: 42988 dft_time: 0
==3679339== ERROR: libFuzzer: fuzz target exited
#42989: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42988 time: 3593s job: 42989 dft_time: 0
==3679446== ERROR: libFuzzer: fuzz target exited
#42990: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42989 time: 3593s job: 42990 dft_time: 0
==3679576== ERROR: libFuzzer: fuzz target exited
#42991: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42990 time: 3593s job: 42991 dft_time: 0
==3679673== ERROR: libFuzzer: fuzz target exited
#42992: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42991 time: 3593s job: 42992 dft_time: 0
==3679748== ERROR: libFuzzer: fuzz target exited
#42993: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42992 time: 3593s job: 42993 dft_time: 0
==3679853== ERROR: libFuzzer: fuzz target exited
#42994: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42993 time: 3593s job: 42994 dft_time: 0
==3679974== ERROR: libFuzzer: fuzz target exited
#42995: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42994 time: 3593s job: 42995 dft_time: 0
==3680037== ERROR: libFuzzer: fuzz target exited
#42996: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42995 time: 3593s job: 42996 dft_time: 0
==3680115== ERROR: libFuzzer: fuzz target exited
#42997: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42996 time: 3593s job: 42997 dft_time: 0
==3680181== ERROR: libFuzzer: fuzz target exited
#42998: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42997 time: 3593s job: 42998 dft_time: 0
==3680237== ERROR: libFuzzer: fuzz target exited
#42999: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42998 time: 3593s job: 42999 dft_time: 0
==3680319== ERROR: libFuzzer: fuzz target exited
#43000: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42999 time: 3594s job: 43000 dft_time: 0
==3680393== ERROR: libFuzzer: fuzz target exited
#43001: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43000 time: 3594s job: 43001 dft_time: 0
==3680496== ERROR: libFuzzer: fuzz target exited
#43002: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43001 time: 3594s job: 43002 dft_time: 0
==3680564== ERROR: libFuzzer: fuzz target exited
#43003: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43002 time: 3594s job: 43003 dft_time: 0
==3680665== ERROR: libFuzzer: fuzz target exited
#43004: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43003 time: 3594s job: 43004 dft_time: 0
==3680792== ERROR: libFuzzer: fuzz target exited
#43005: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43004 time: 3594s job: 43005 dft_time: 0
==3680901== ERROR: libFuzzer: fuzz target exited
#43006: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43005 time: 3594s job: 43006 dft_time: 0
==3680998== ERROR: libFuzzer: fuzz target exited
#43007: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43006 time: 3594s job: 43007 dft_time: 0
==3681080== ERROR: libFuzzer: fuzz target exited
#43008: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43007 time: 3594s job: 43008 dft_time: 0
==3681176== ERROR: libFuzzer: fuzz target exited
#43009: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43008 time: 3594s job: 43009 dft_time: 0
==3681288== ERROR: libFuzzer: fuzz target exited
#43010: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43009 time: 3594s job: 43010 dft_time: 0
==3681373== ERROR: libFuzzer: fuzz target exited
#43011: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43010 time: 3595s job: 43011 dft_time: 0
==3681465== ERROR: libFuzzer: fuzz target exited
#43012: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43011 time: 3595s job: 43012 dft_time: 0
==3681577== ERROR: libFuzzer: fuzz target exited
#43013: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43012 time: 3595s job: 43013 dft_time: 0
==3681721== ERROR: libFuzzer: fuzz target exited
#43014: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43013 time: 3595s job: 43014 dft_time: 0
==3681866== ERROR: libFuzzer: fuzz target exited
#43015: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43014 time: 3595s job: 43015 dft_time: 0
==3681925== ERROR: libFuzzer: fuzz target exited
#43016: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43015 time: 3595s job: 43016 dft_time: 0
==3682011== ERROR: libFuzzer: fuzz target exited
#43017: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43016 time: 3595s job: 43017 dft_time: 0
==3682130== ERROR: libFuzzer: fuzz target exited
#43018: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43017 time: 3595s job: 43018 dft_time: 0
==3682274== ERROR: libFuzzer: fuzz target exited
#43019: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43018 time: 3595s job: 43019 dft_time: 0
==3682372== ERROR: libFuzzer: fuzz target exited
#43020: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43019 time: 3595s job: 43020 dft_time: 0
==3682484== ERROR: libFuzzer: fuzz target exited
#43021: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43020 time: 3595s job: 43021 dft_time: 0
==3682575== ERROR: libFuzzer: fuzz target exited
#43022: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43021 time: 3596s job: 43022 dft_time: 0
==3682659== ERROR: libFuzzer: fuzz target exited
#43023: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43022 time: 3596s job: 43023 dft_time: 0
==3682767== ERROR: libFuzzer: fuzz target exited
#43024: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43023 time: 3596s job: 43024 dft_time: 0
==3682908== ERROR: libFuzzer: fuzz target exited
#43025: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43024 time: 3596s job: 43025 dft_time: 0
==3683002== ERROR: libFuzzer: fuzz target exited
#43026: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43025 time: 3596s job: 43026 dft_time: 0
==3683084== ERROR: libFuzzer: fuzz target exited
#43027: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43026 time: 3596s job: 43027 dft_time: 0
==3683173== ERROR: libFuzzer: fuzz target exited
#43028: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43027 time: 3596s job: 43028 dft_time: 0
==3683254== ERROR: libFuzzer: fuzz target exited
#43029: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43028 time: 3596s job: 43029 dft_time: 0
==3683389== ERROR: libFuzzer: fuzz target exited
#43030: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43029 time: 3596s job: 43030 dft_time: 0
==3683469== ERROR: libFuzzer: fuzz target exited
#43031: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43030 time: 3596s job: 43031 dft_time: 0
==3683557== ERROR: libFuzzer: fuzz target exited
#43032: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43031 time: 3596s job: 43032 dft_time: 0
==3683659== ERROR: libFuzzer: fuzz target exited
#43033: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43032 time: 3596s job: 43033 dft_time: 0
==3683760== ERROR: libFuzzer: fuzz target exited
#43034: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43033 time: 3597s job: 43034 dft_time: 0
==3683860== ERROR: libFuzzer: fuzz target exited
#43035: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43034 time: 3597s job: 43035 dft_time: 0
==3684012== ERROR: libFuzzer: fuzz target exited
#43036: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43035 time: 3597s job: 43036 dft_time: 0
==3684155== ERROR: libFuzzer: fuzz target exited
