INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1344 inline 8-bit counters): 1344 [0x5586009196f0, 0x558600919c30), 
INFO: Loaded 1 PC tables (1344 PCs): 1344 [0x558600919c30,0x55860091f030), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564290.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3564517== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3564863== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3565051== ERROR: libFuzzer: fuzz target exited
... [85578 lines elided] ...
#42793: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42792 time: 3591s job: 42793 dft_time: 0
==3677658== ERROR: libFuzzer: fuzz target exited
#42794: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42793 time: 3591s job: 42794 dft_time: 0
==3677755== ERROR: libFuzzer: fuzz target exited
#42795: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42794 time: 3591s job: 42795 dft_time: 0
==3677861== ERROR: libFuzzer: fuzz target exited
#42796: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42795 time: 3591s job: 42796 dft_time: 0
==3677991== ERROR: libFuzzer: fuzz target exited
#42797: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42796 time: 3592s job: 42797 dft_time: 0
==3678114== ERROR: libFuzzer: fuzz target exited
#42798: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42797 time: 3592s job: 42798 dft_time: 0
==3678261== ERROR: libFuzzer: fuzz target exited
#42799: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42798 time: 3592s job: 42799 dft_time: 0
==3678365== ERROR: libFuzzer: fuzz target exited
#42800: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42799 time: 3592s job: 42800 dft_time: 0
==3678487== ERROR: libFuzzer: fuzz target exited
#42801: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42800 time: 3592s job: 42801 dft_time: 0
==3678609== ERROR: libFuzzer: fuzz target exited
#42802: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42801 time: 3592s job: 42802 dft_time: 0
==3678697== ERROR: libFuzzer: fuzz target exited
#42803: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42802 time: 3592s job: 42803 dft_time: 0
==3678783== ERROR: libFuzzer: fuzz target exited
#42804: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42803 time: 3592s job: 42804 dft_time: 0
==3678885== ERROR: libFuzzer: fuzz target exited
#42805: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42804 time: 3592s job: 42805 dft_time: 0
==3678970== ERROR: libFuzzer: fuzz target exited
#42806: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42805 time: 3592s job: 42806 dft_time: 0
==3679062== ERROR: libFuzzer: fuzz target exited
#42807: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42806 time: 3592s job: 42807 dft_time: 0
==3679190== ERROR: libFuzzer: fuzz target exited
