INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (10602 inline 8-bit counters): 10602 [0x5569d27d82b0, 0x5569d27dac1a), 
INFO: Loaded 1 PC tables (10602 PCs): 10602 [0x5569d27dac20,0x5569d28042c0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564291.dir
#1851: cov: 0 ft: 0 corp: 0 exec/s: 925 oom/timeout/crash: 0/0/0 time: 2s job: 1 dft_time: 0
  NEW_FUNC: 0x5569d26ad880  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_optipng_c2saferrust/harnesses/compress.bin+0x177880) (BuildId: 235ce0f27d8fa8dd3b605e8082c38849bb8e23ae)
  NEW_FUNC: 0x5569d26af3b0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_optipng_c2saferrust/harnesses/compress.bin+0x1793b0) (BuildId: 235ce0f27d8fa8dd3b605e8082c38849bb8e23ae)
  NEW_FUNC: 0x5569d26b1e90  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_optipng_c2saferrust/harnesses/compress.bin+0x17be90) (BuildId: 235ce0f27d8fa8dd3b605e8082c38849bb8e23ae)
  NEW_FUNC: 0x5569d26b23f0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_optipng_c2saferrust/harnesses/compress.bin+0x17c3f0) (BuildId: 235ce0f27d8fa8dd3b605e8082c38849bb8e23ae)
  NEW_FUNC: 0x5569d26b26e0  (/tmp/claude-1000/-home-yunzez-c2rust-testing/6278f822-c4c5-451c-94c6-d3a713132b29/scratchpad/cell_optipng_c2saferrust/harnesses/compress.bin+0x17c6e0) (BuildId: 235ce0f27d8fa8dd3b605e8082c38849bb8e23ae)
... [11671 lines elided] ...
#1780168: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5812 time: 3535s job: 5817 dft_time: 0
==3610455== ERROR: libFuzzer: deadly signal
#1780218: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5813 time: 3535s job: 5818 dft_time: 0
==3610834== ERROR: libFuzzer: deadly signal
#1781468: cov: 1001 ft: 2119 corp: 191 exec/s: 1250 oom/timeout/crash: 0/0/5814 time: 3537s job: 5819 dft_time: 0
==3611141== ERROR: libFuzzer: deadly signal
#1781729: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5815 time: 3538s job: 5820 dft_time: 0
==3613137== ERROR: libFuzzer: deadly signal
