INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1145 inline 8-bit counters): 1145 [0x55bddd5f78f0, 0x55bddd5f7d69), 
INFO: Loaded 1 PC tables (1145 PCs): 1145 [0x55bddd5f7d70,0x55bddd5fc500), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564299.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3564641== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3564951== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3565150== ERROR: libFuzzer: fuzz target exited
... [85718 lines elided] ...
#42863: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42862 time: 3591s job: 42863 dft_time: 0
==3677771== ERROR: libFuzzer: fuzz target exited
#42864: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42863 time: 3591s job: 42864 dft_time: 0
==3677852== ERROR: libFuzzer: fuzz target exited
#42865: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42864 time: 3591s job: 42865 dft_time: 0
==3677956== ERROR: libFuzzer: fuzz target exited
#42866: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42865 time: 3592s job: 42866 dft_time: 0
==3678095== ERROR: libFuzzer: fuzz target exited
#42867: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42866 time: 3592s job: 42867 dft_time: 0
==3678185== ERROR: libFuzzer: fuzz target exited
#42868: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42867 time: 3592s job: 42868 dft_time: 0
==3678284== ERROR: libFuzzer: fuzz target exited
#42869: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42868 time: 3592s job: 42869 dft_time: 0
==3678394== ERROR: libFuzzer: fuzz target exited
#42870: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42869 time: 3592s job: 42870 dft_time: 0
==3678472== ERROR: libFuzzer: fuzz target exited
#42871: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42870 time: 3592s job: 42871 dft_time: 0
==3678596== ERROR: libFuzzer: fuzz target exited
#42872: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42871 time: 3592s job: 42872 dft_time: 0
==3678701== ERROR: libFuzzer: fuzz target exited
#42873: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42872 time: 3592s job: 42873 dft_time: 0
==3678770== ERROR: libFuzzer: fuzz target exited
#42874: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42873 time: 3592s job: 42874 dft_time: 0
==3678836== ERROR: libFuzzer: fuzz target exited
#42875: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42874 time: 3592s job: 42875 dft_time: 0
==3678900== ERROR: libFuzzer: fuzz target exited
#42876: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42875 time: 3592s job: 42876 dft_time: 0
==3678967== ERROR: libFuzzer: fuzz target exited
#42877: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42876 time: 3592s job: 42877 dft_time: 0
==3679043== ERROR: libFuzzer: fuzz target exited
#42878: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42877 time: 3592s job: 42878 dft_time: 0
==3679152== ERROR: libFuzzer: fuzz target exited
#42879: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42878 time: 3593s job: 42879 dft_time: 0
==3679245== ERROR: libFuzzer: fuzz target exited
#42880: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42879 time: 3593s job: 42880 dft_time: 0
==3679349== ERROR: libFuzzer: fuzz target exited
#42881: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42880 time: 3593s job: 42881 dft_time: 0
==3679418== ERROR: libFuzzer: fuzz target exited
#42882: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42881 time: 3593s job: 42882 dft_time: 0
==3679521== ERROR: libFuzzer: fuzz target exited
#42883: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42882 time: 3593s job: 42883 dft_time: 0
==3679633== ERROR: libFuzzer: fuzz target exited
#42884: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42883 time: 3593s job: 42884 dft_time: 0
==3679686== ERROR: libFuzzer: fuzz target exited
#42885: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42884 time: 3593s job: 42885 dft_time: 0
==3679810== ERROR: libFuzzer: fuzz target exited
#42886: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42885 time: 3593s job: 42886 dft_time: 0
==3679899== ERROR: libFuzzer: fuzz target exited
#42887: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42886 time: 3593s job: 42887 dft_time: 0
==3679982== ERROR: libFuzzer: fuzz target exited
#42888: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42887 time: 3593s job: 42888 dft_time: 0
==3680107== ERROR: libFuzzer: fuzz target exited
#42889: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42888 time: 3593s job: 42889 dft_time: 0
==3680195== ERROR: libFuzzer: fuzz target exited
#42890: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42889 time: 3593s job: 42890 dft_time: 0
==3680299== ERROR: libFuzzer: fuzz target exited
#42891: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42890 time: 3593s job: 42891 dft_time: 0
==3680380== ERROR: libFuzzer: fuzz target exited
#42892: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42891 time: 3594s job: 42892 dft_time: 0
==3680434== ERROR: libFuzzer: fuzz target exited
#42893: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42892 time: 3594s job: 42893 dft_time: 0
==3680538== ERROR: libFuzzer: fuzz target exited
#42894: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42893 time: 3594s job: 42894 dft_time: 0
==3680616== ERROR: libFuzzer: fuzz target exited
#42895: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42894 time: 3594s job: 42895 dft_time: 0
==3680719== ERROR: libFuzzer: fuzz target exited
#42896: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42895 time: 3594s job: 42896 dft_time: 0
==3680785== ERROR: libFuzzer: fuzz target exited
#42897: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42896 time: 3594s job: 42897 dft_time: 0
==3680863== ERROR: libFuzzer: fuzz target exited
#42898: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42897 time: 3594s job: 42898 dft_time: 0
==3680978== ERROR: libFuzzer: fuzz target exited
#42899: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42898 time: 3594s job: 42899 dft_time: 0
==3681082== ERROR: libFuzzer: fuzz target exited
#42900: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42899 time: 3594s job: 42900 dft_time: 0
==3681183== ERROR: libFuzzer: fuzz target exited
#42901: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42900 time: 3594s job: 42901 dft_time: 0
==3681281== ERROR: libFuzzer: fuzz target exited
