INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (2246 inline 8-bit counters): 2246 [0x55c44eda4f70, 0x55c44eda5836), 
INFO: Loaded 1 PC tables (2246 PCs): 2246 [0x55c44eda5838,0x55c44edae498), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 1 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564599.dir
#22: cov: 156 ft: 157 corp: 1 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3565033== ERROR: libFuzzer: fuzz target exited
#680: cov: 181 ft: 255 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3565337== ERROR: libFuzzer: fuzz target exited
#1102: cov: 187 ft: 408 corp: 26 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3565645== ERROR: libFuzzer: fuzz target exited
... [67884 lines elided] ...
#1147264: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33945 time: 3589s job: 33946 dft_time: 0
==3675803== ERROR: libFuzzer: fuzz target exited
#1147283: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33946 time: 3590s job: 33947 dft_time: 0
==3675903== ERROR: libFuzzer: fuzz target exited
#1147308: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33947 time: 3590s job: 33948 dft_time: 0
==3676067== ERROR: libFuzzer: fuzz target exited
#1147322: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33948 time: 3590s job: 33949 dft_time: 0
==3676181== ERROR: libFuzzer: fuzz target exited
#1147352: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33949 time: 3590s job: 33950 dft_time: 0
==3676289== ERROR: libFuzzer: fuzz target exited
#1147380: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33950 time: 3590s job: 33951 dft_time: 0
==3676441== ERROR: libFuzzer: fuzz target exited
#1147400: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33951 time: 3590s job: 33952 dft_time: 0
==3676563== ERROR: libFuzzer: fuzz target exited
#1147416: cov: 236 ft: 604 corp: 107 exec/s: 0 oom/timeout/crash: 0/0/33952 time: 3590s job: 33953 dft_time: 0
==3676686== ERROR: libFuzzer: fuzz target exited
