INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1042 inline 8-bit counters): 1042 [0x556eaea35870, 0x556eaea35c82), 
INFO: Loaded 1 PC tables (1042 PCs): 1042 [0x556eaea35c88,0x556eaea39da8), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3044.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3274== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3412== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3548== ERROR: libFuzzer: fuzz target exited
... [143872 lines elided] ...
#71940: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71939 time: 3595s job: 71940 dft_time: 0
==2411902== ERROR: libFuzzer: fuzz target exited
#71941: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71940 time: 3595s job: 71941 dft_time: 0
==2411936== ERROR: libFuzzer: fuzz target exited
#71942: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71941 time: 3595s job: 71942 dft_time: 0
==2411978== ERROR: libFuzzer: fuzz target exited
#71943: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71942 time: 3595s job: 71943 dft_time: 0
==2412004== ERROR: libFuzzer: fuzz target exited
#71944: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71943 time: 3595s job: 71944 dft_time: 0
==2412041== ERROR: libFuzzer: fuzz target exited
#71945: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71944 time: 3595s job: 71945 dft_time: 0
==2412076== ERROR: libFuzzer: fuzz target exited
#71946: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71945 time: 3595s job: 71946 dft_time: 0
==2412103== ERROR: libFuzzer: fuzz target exited
#71947: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71946 time: 3595s job: 71947 dft_time: 0
==2412129== ERROR: libFuzzer: fuzz target exited
#71948: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71947 time: 3595s job: 71948 dft_time: 0
==2412163== ERROR: libFuzzer: fuzz target exited
#71949: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71948 time: 3595s job: 71949 dft_time: 0
==2412202== ERROR: libFuzzer: fuzz target exited
#71950: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71949 time: 3595s job: 71950 dft_time: 0
==2412231== ERROR: libFuzzer: fuzz target exited
#71951: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71950 time: 3595s job: 71951 dft_time: 0
==2412267== ERROR: libFuzzer: fuzz target exited
#71952: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71951 time: 3595s job: 71952 dft_time: 0
==2412294== ERROR: libFuzzer: fuzz target exited
#71953: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71952 time: 3595s job: 71953 dft_time: 0
==2412331== ERROR: libFuzzer: fuzz target exited
#71954: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71953 time: 3596s job: 71954 dft_time: 0
==2412362== ERROR: libFuzzer: fuzz target exited
#71955: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71954 time: 3596s job: 71955 dft_time: 0
==2412386== ERROR: libFuzzer: fuzz target exited
#71956: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71955 time: 3596s job: 71956 dft_time: 0
==2412417== ERROR: libFuzzer: fuzz target exited
#71957: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71956 time: 3596s job: 71957 dft_time: 0
==2412458== ERROR: libFuzzer: fuzz target exited
#71958: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71957 time: 3596s job: 71958 dft_time: 0
==2412483== ERROR: libFuzzer: fuzz target exited
#71959: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71958 time: 3596s job: 71959 dft_time: 0
==2412516== ERROR: libFuzzer: fuzz target exited
#71960: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71959 time: 3596s job: 71960 dft_time: 0
==2412544== ERROR: libFuzzer: fuzz target exited
#71961: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71960 time: 3596s job: 71961 dft_time: 0
==2412573== ERROR: libFuzzer: fuzz target exited
#71962: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71961 time: 3596s job: 71962 dft_time: 0
==2412601== ERROR: libFuzzer: fuzz target exited
#71963: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71962 time: 3596s job: 71963 dft_time: 0
==2412636== ERROR: libFuzzer: fuzz target exited
#71964: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71963 time: 3596s job: 71964 dft_time: 0
==2412666== ERROR: libFuzzer: fuzz target exited
#71965: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71964 time: 3596s job: 71965 dft_time: 0
==2412692== ERROR: libFuzzer: fuzz target exited
#71966: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71965 time: 3596s job: 71966 dft_time: 0
==2412720== ERROR: libFuzzer: fuzz target exited
#71967: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71966 time: 3596s job: 71967 dft_time: 0
==2412751== ERROR: libFuzzer: fuzz target exited
#71968: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71967 time: 3596s job: 71968 dft_time: 0
==2412787== ERROR: libFuzzer: fuzz target exited
#71969: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71968 time: 3596s job: 71969 dft_time: 0
==2412817== ERROR: libFuzzer: fuzz target exited
#71970: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71969 time: 3596s job: 71970 dft_time: 0
==2412851== ERROR: libFuzzer: fuzz target exited
#71971: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71970 time: 3596s job: 71971 dft_time: 0
==2412887== ERROR: libFuzzer: fuzz target exited
#71972: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71971 time: 3596s job: 71972 dft_time: 0
==2412948== ERROR: libFuzzer: fuzz target exited
#71973: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71972 time: 3596s job: 71973 dft_time: 0
==2412980== ERROR: libFuzzer: fuzz target exited
#71974: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71973 time: 3597s job: 71974 dft_time: 0
==2413032== ERROR: libFuzzer: fuzz target exited
#71975: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71974 time: 3597s job: 71975 dft_time: 0
==2413058== ERROR: libFuzzer: fuzz target exited
#71976: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71975 time: 3597s job: 71976 dft_time: 0
==2413089== ERROR: libFuzzer: fuzz target exited
#71977: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71976 time: 3597s job: 71977 dft_time: 0
==2413127== ERROR: libFuzzer: fuzz target exited
#71978: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71977 time: 3597s job: 71978 dft_time: 0
==2413159== ERROR: libFuzzer: fuzz target exited
#71979: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71978 time: 3597s job: 71979 dft_time: 0
==2413193== ERROR: libFuzzer: fuzz target exited
#71980: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71979 time: 3597s job: 71980 dft_time: 0
==2413227== ERROR: libFuzzer: fuzz target exited
#71981: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71980 time: 3597s job: 71981 dft_time: 0
==2413272== ERROR: libFuzzer: fuzz target exited
#71982: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71981 time: 3597s job: 71982 dft_time: 0
==2413304== ERROR: libFuzzer: fuzz target exited
#71983: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71982 time: 3597s job: 71983 dft_time: 0
==2413341== ERROR: libFuzzer: fuzz target exited
