INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1042 inline 8-bit counters): 1042 [0x5650b3f908b0, 0x5650b3f90cc2), 
INFO: Loaded 1 PC tables (1042 PCs): 1042 [0x5650b3f90cc8,0x5650b3f94de8), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3059.dir
#1: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/0 time: 0s job: 1 dft_time: 0
==3268== ERROR: libFuzzer: fuzz target exited
#2: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/1 time: 0s job: 2 dft_time: 0
==3456== ERROR: libFuzzer: fuzz target exited
#3: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/2 time: 0s job: 3 dft_time: 0
==3550== ERROR: libFuzzer: fuzz target exited
... [143670 lines elided] ...
#71839: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71838 time: 3595s job: 71839 dft_time: 0
==2411968== ERROR: libFuzzer: fuzz target exited
#71840: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71839 time: 3595s job: 71840 dft_time: 0
==2411993== ERROR: libFuzzer: fuzz target exited
#71841: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71840 time: 3595s job: 71841 dft_time: 0
==2412023== ERROR: libFuzzer: fuzz target exited
#71842: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71841 time: 3595s job: 71842 dft_time: 0
==2412056== ERROR: libFuzzer: fuzz target exited
#71843: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71842 time: 3595s job: 71843 dft_time: 0
==2412073== ERROR: libFuzzer: fuzz target exited
#71844: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71843 time: 3595s job: 71844 dft_time: 0
==2412110== ERROR: libFuzzer: fuzz target exited
#71845: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71844 time: 3595s job: 71845 dft_time: 0
==2412152== ERROR: libFuzzer: fuzz target exited
#71846: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71845 time: 3595s job: 71846 dft_time: 0
==2412183== ERROR: libFuzzer: fuzz target exited
#71847: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71846 time: 3595s job: 71847 dft_time: 0
==2412214== ERROR: libFuzzer: fuzz target exited
#71848: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71847 time: 3595s job: 71848 dft_time: 0
==2412246== ERROR: libFuzzer: fuzz target exited
#71849: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71848 time: 3595s job: 71849 dft_time: 0
==2412279== ERROR: libFuzzer: fuzz target exited
#71850: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71849 time: 3595s job: 71850 dft_time: 0
==2412314== ERROR: libFuzzer: fuzz target exited
#71851: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71850 time: 3596s job: 71851 dft_time: 0
==2412345== ERROR: libFuzzer: fuzz target exited
#71852: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71851 time: 3596s job: 71852 dft_time: 0
==2412374== ERROR: libFuzzer: fuzz target exited
#71853: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71852 time: 3596s job: 71853 dft_time: 0
==2412410== ERROR: libFuzzer: fuzz target exited
#71854: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71853 time: 3596s job: 71854 dft_time: 0
==2412441== ERROR: libFuzzer: fuzz target exited
#71855: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71854 time: 3596s job: 71855 dft_time: 0
==2412474== ERROR: libFuzzer: fuzz target exited
#71856: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71855 time: 3596s job: 71856 dft_time: 0
==2412506== ERROR: libFuzzer: fuzz target exited
#71857: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71856 time: 3596s job: 71857 dft_time: 0
==2412537== ERROR: libFuzzer: fuzz target exited
#71858: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71857 time: 3596s job: 71858 dft_time: 0
==2412574== ERROR: libFuzzer: fuzz target exited
#71859: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71858 time: 3596s job: 71859 dft_time: 0
==2412605== ERROR: libFuzzer: fuzz target exited
#71860: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71859 time: 3596s job: 71860 dft_time: 0
==2412639== ERROR: libFuzzer: fuzz target exited
#71861: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71860 time: 3596s job: 71861 dft_time: 0
==2412672== ERROR: libFuzzer: fuzz target exited
#71862: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/71861 time: 3596s job: 71862 dft_time: 0
